far field @z=0.050000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.516667,-0.516667,0.100000,-0.046084,0.020152,-0.131378,0.251334,-0.313829,-0.263556
-0.516667,-0.483333,0.100000,-0.103020,0.117948,0.024334,0.201846,-0.295978,-0.328202
-0.516667,-0.450000,0.100000,-0.044338,0.061979,0.049751,0.186580,-0.309968,-0.367732
-0.516667,-0.416667,0.100000,0.091784,-0.157498,-0.137039,0.125161,-0.262659,-0.399684
-0.516667,-0.383333,0.100000,0.099885,-0.274598,-0.476518,-0.082023,0.094667,-0.094850
-0.516667,-0.350000,0.100000,-0.135374,0.202329,-0.048316,-0.008421,0.185564,0.561623
-0.516667,-0.316667,0.100000,0.173633,-0.137339,0.493305,0.045875,-0.234197,-0.436143
-0.516667,-0.283333,0.100000,-0.242026,0.255200,-0.577251,0.025829,0.154705,0.512676
-0.516667,-0.250000,0.100000,0.119735,-0.272949,0.012386,-0.287363,0.238997,-0.905267
-0.516667,-0.216667,0.100000,0.371785,-0.425456,1.047397,0.027900,-0.163107,-0.148084
-0.516667,-0.183333,0.100000,0.384329,-0.468081,1.165384,0.170370,-0.307360,0.384014
-0.516667,-0.150000,0.100000,0.438324,-0.648894,1.367651,-0.098297,0.105340,-0.336697
-0.516667,-0.116667,0.100000,-0.147667,0.260535,-0.477553,-0.433550,0.682368,-1.522485
-0.516667,-0.083333,0.100000,-0.019960,-0.070824,-0.147640,0.449244,-0.760991,1.773980
-0.516667,-0.050000,0.100000,-0.281923,0.616225,-1.241373,-0.326110,0.426118,-1.507148
-0.516667,-0.016667,0.100000,0.201282,-0.081235,1.000322,-0.358909,0.677626,-1.850420
-0.516667,0.016667,0.100000,0.209521,0.005823,1.032254,-0.340990,0.569646,-1.970461
-0.516667,0.050000,0.100000,-0.231037,0.418672,-1.534186,-0.331031,0.075649,-1.725769
-0.516667,0.083333,0.100000,-0.072197,-0.231198,-0.058522,0.417917,-0.154717,2.353170
-0.516667,0.116667,0.100000,-0.103413,0.165077,-0.865461,-0.448299,-0.107059,-2.193903
-0.516667,0.150000,0.100000,0.499077,0.248349,2.209093,-0.094456,0.068807,-0.725962
-0.516667,0.183333,0.100000,0.528960,0.332562,2.189632,0.192318,0.178656,0.557513
-0.516667,0.216667,0.100000,0.614546,0.487318,2.128775,-0.077463,-0.050484,-0.407513
-0.516667,0.250000,0.100000,0.018973,-0.001212,-0.000757,-0.672295,-0.577410,-2.056213
-0.516667,0.283333,0.100000,-0.551890,-0.466625,-1.489549,0.459571,0.432839,1.231567
-0.516667,0.316667,0.100000,0.596959,0.503020,1.462352,-0.459879,-0.440684,-1.054985
-0.516667,0.350000,0.100000,-0.159236,-0.094905,-0.432056,0.760947,0.671567,1.615820
-0.516667,0.383333,0.100000,-0.732138,-0.635903,-1.385091,-0.296263,-0.210131,-0.684144
-0.516667,0.416667,0.100000,-0.050094,-0.081683,0.037286,-0.790040,-0.642804,-1.422200
-0.516667,0.450000,0.100000,0.367986,0.256449,0.727011,-0.692696,-0.561459,-1.087216
-0.516667,0.483333,0.100000,0.382150,0.259695,0.706531,-0.668234,-0.519842,-0.971714
-0.516667,0.516667,0.100000,0.057653,0.013407,0.209672,-0.747411,-0.542105,-1.083544
-0.483333,-0.516667,0.100000,-0.193789,0.178459,-0.046012,0.216485,-0.267841,-0.285306
-0.483333,-0.483333,0.100000,-0.262983,0.323420,0.233316,0.026678,-0.076617,-0.221520
-0.483333,-0.450000,0.100000,-0.227670,0.336410,0.350131,-0.031777,0.012886,-0.089069
-0.483333,-0.416667,0.100000,-0.184888,0.324292,0.397142,0.038677,-0.075518,-0.101661
-0.483333,-0.383333,0.100000,-0.044373,0.144609,0.320741,0.142227,-0.286366,-0.344405
-0.483333,-0.350000,0.100000,0.131845,-0.269680,-0.238900,-0.006566,-0.138269,-0.491756
-0.483333,-0.316667,0.100000,-0.145936,0.086066,-0.454827,-0.072753,0.276669,0.452760
-0.483333,-0.283333,0.100000,0.207523,-0.102801,0.721712,0.100862,-0.282097,-0.234823
-0.483333,-0.250000,0.100000,-0.303631,0.332248,-0.693664,0.068817,0.118578,0.574146
-0.483333,-0.216667,0.100000,-0.057639,-0.095615,-0.432583,-0.385026,0.435773,-0.975035
-0.483333,-0.183333,0.100000,0.242813,-0.393084,0.527239,-0.383403,0.401888,-1.139646
-0.483333,-0.150000,0.100000,0.127361,-0.230897,0.319148,-0.480737,0.637134,-1.427394
-0.483333,-0.116667,0.100000,-0.468882,0.704245,-1.513603,-0.216838,0.310509,-0.728129
-0.483333,-0.083333,0.100000,0.265778,-0.507468,0.923424,0.439827,-0.641393,1.656051
-0.483333,-0.050000,0.100000,-0.453247,0.795764,-1.894903,-0.203895,0.140956,-0.904451
-0.483333,-0.016667,0.100000,0.073123,0.173819,0.312371,-0.471810,0.714828,-2.256109
-0.483333,0.016667,0.100000,0.089310,0.223558,0.298232,-0.458392,0.564202,-2.400047
-0.483333,0.050000,0.100000,-0.410888,0.422838,-2.310259,-0.235955,-0.124967,-0.990951
-0.483333,0.083333,0.100000,0.207849,-0.275819,1.380632,0.455158,0.027299,2.154804
-0.483333,0.116667,0.100000,-0.473897,-0.009274,-2.377499,-0.268035,-0.214444,-0.934729
-0.483333,0.150000,0.100000,0.156340,0.176927,0.361788,-0.580291,-0.258358,-2.478218
-0.483333,0.183333,0.100000,0.292349,0.234535,0.876073,-0.595595,-0.384832,-2.251572
-0.483333,0.216667,0.100000,-0.283705,-0.224643,-1.001890,-0.667302,-0.522171,-2.068390
-0.483333,0.250000,0.100000,-0.613860,-0.495632,-1.681379,0.480991,0.425196,1.357100
-0.483333,0.283333,0.100000,0.796594,0.668530,1.954844,-0.208244,-0.219232,-0.476935
-0.483333,0.316667,0.100000,-0.667852,-0.535215,-1.503863,0.531079,0.487650,1.094600
-0.483333,0.350000,0.100000,-0.232462,-0.239288,-0.350820,-0.837422,-0.679571,-1.673679
-0.483333,0.383333,0.100000,0.740598,0.568376,1.393269,-0.459844,-0.407028,-0.715608
-0.483333,0.416667,0.100000,0.858065,0.664982,1.402371,0.092836,0.030123,0.286827
-0.483333,0.450000,0.100000,0.827191,0.618069,1.244380,0.174074,0.092718,0.399035
-0.483333,0.483333,0.100000,0.803919,0.561688,1.187682,-0.165374,-0.147647,-0.112726
-0.483333,0.516667,0.100000,0.377189,0.231606,0.621792,-0.695872,-0.483077,-0.895260
-0.450000,-0.516667,0.100000,-0.234970,0.193464,-0.096020,0.226386,-0.258974,-0.268908
-0.450000,-0.483333,0.100000,-0.276855,0.328255,0.278422,-0.126361,0.089459,-0.151259
-0.450000,-0.450000,0.100000,-0.111067,0.189738,0.314893,-0.249026,0.296657,0.162243
-0.450000,-0.416667,0.100000,-0.055412,0.122601,0.231103,-0.224262,0.334783,0.326378
-0.450000,-0.383333,0.100000,-0.120784,0.231541,0.291222,-0.136949,0.264196,0.352290
-0.450000,-0.350000,0.100000,-0.126372,0.330622,0.520799,0.065110,-0.062590,0.097511
-0.450000,-0.316667,0.100000,0.133808,-0.130765,0.223360,0.059959,-0.289726,-0.581656
-0.450000,-0.283333,0.100000,-0.155125,-0.012940,-0.722770,-0.142498,0.312140,0.166346
-0.450000,-0.250000,0.100000,0.269986,-0.133780,0.884676,0.138922,-0.319779,-0.094839
-0.450000,-0.216667,0.100000,-0.332167,0.429920,-0.637823,0.224870,-0.057726,0.858473
-0.450000,-0.183333,0.100000,-0.421403,0.391100,-1.200244,-0.244885,0.399790,-0.444802
-0.450000,-0.150000,0.100000,-0.457590,0.524105,-1.309059,-0.306911,0.456303,-0.765628
-0.450000,-0.116667,0.100000,-0.516805,0.717050,-1.565193,0.275343,-0.377409,0.825896
-0.450000,-0.083333,0.100000,0.555148,-0.851873,1.877982,0.205482,-0.210840,0.760650
-0.450000,-0.050000,0.100000,-0.576999,0.832329,-2.265853,0.044390,-0.273319,0.126222
-0.450000,-0.016667,0.100000,-0.142501,0.482249,-0.671731,-0.541718,0.635061,-2.389176
-0.450000,0.016667,0.100000,-0.120326,0.465066,-0.754738,-0.538155,0.452809,-2.537862
-0.450000,0.050000,0.100000,-0.562865,0.310239,-2.742167,-0.009037,-0.334840,0.270804
-0.450000,0.083333,0.100000,0.536180,-0.171229,2.656982,0.263494,0.216363,0.882429
-0.450000,0.116667,0.100000,-0.592107,-0.230428,-2.355540,0.271629,-0.088910,1.478923
-0.450000,0.150000,0.100000,-0.607185,-0.267847,-2.429072,-0.382962,-0.276113,-1.195489
-0.450000,0.183333,0.100000,-0.733439,-0.490806,-2.470204,-0.288138,-0.220085,-0.773837
-0.450000,0.216667,0.100000,-0.524653,-0.390718,-1.431794,0.672966,0.528979,1.973095
-0.450000,0.250000,0.100000,0.905479,0.730320,2.264014,-0.051521,-0.082595,-0.130495
