far field @z=0.050000
freq=27000000000.000000
sampling point=4096
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.078750,-0.078750,0.015000,-1.486162,2.125334,1.722596,-0.343229,0.380238,-0.207959
-0.078750,-0.076250,0.015000,-0.613372,0.987944,1.106445,-1.319337,1.948971,1.469920
-0.078750,-0.073750,0.015000,0.595556,-0.928718,-0.732872,-1.242009,1.997810,1.814443
-0.078750,-0.071250,0.015000,1.246740,-2.141804,-2.055914,-0.347066,0.554199,0.364689
-0.078750,-0.068750,0.015000,1.032288,-1.818645,-1.530064,0.626878,-1.259232,-1.629323
-0.078750,-0.066250,0.015000,0.276030,-0.289933,0.519250,1.087857,-2.182773,-2.343367
-0.078750,-0.063750,0.015000,-0.483309,1.360483,2.378848,0.925783,-1.706421,-1.012383
-0.078750,-0.061250,0.015000,-0.900632,2.138248,2.416510,0.393286,-0.264831,1.399562
-0.078750,-0.058750,0.015000,-0.926750,1.729081,0.430862,-0.202539,1.228492,2.993124
-0.078750,-0.056250,0.015000,-0.662865,0.513371,-2.198333,-0.684189,2.021845,2.436453
-0.078750,-0.053750,0.015000,-0.204311,-0.831537,-3.566996,-0.979883,1.879976,-0.046783
-0.078750,-0.051250,0.015000,0.379535,-1.758469,-2.607579,-1.024490,1.031285,-2.876783
-0.078750,-0.048750,0.015000,0.971507,-2.042317,0.233236,-0.738305,-0.107038,-4.222725
-0.078750,-0.046250,0.015000,1.370025,-1.725961,3.355224,-0.106830,-1.172209,-3.158061
-0.078750,-0.043750,0.015000,1.359160,-0.970390,5.017065,0.733729,-1.943138,-0.135034
-0.078750,-0.041250,0.015000,0.838601,0.049245,4.288973,1.504502,-2.307078,3.383284
-0.078750,-0.038750,0.015000,-0.090029,1.163095,1.427015,1.897848,-2.205857,5.764855
-0.078750,-0.036250,0.015000,-1.146903,2.187922,-2.402409,1.723692,-1.625064,5.981497
-0.078750,-0.033750,0.015000,-1.992197,2.928752,-5.758487,0.996983,-0.620084,3.948322
-0.078750,-0.031250,0.015000,-2.365820,3.219024,-7.534853,-0.077288,0.664258,0.384281
