far field @z=0.150000
freq=27000000000.000000
sampling point=900
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.000000,0.000000,-0.150000,0.416009,-0.009881,-0.053106,1.230723,-0.740041,-0.054185
-0.016218,0.000000,-0.149121,1.214708,0.150888,-0.191873,0.732826,-0.512063,-0.145433
-0.032246,0.000000,-0.146493,2.080118,0.363215,-0.510927,0.317467,-0.217212,-0.137636
-0.047895,0.000000,-0.142148,2.866387,0.596869,-1.000585,0.072923,0.109249,-0.084030
-0.062983,0.000000,-0.136136,3.443944,0.820339,-1.601606,0.036292,0.430505,-0.058386
-0.077333,0.000000,-0.128529,3.731119,1.007940,-2.222160,0.187424,0.715616,-0.128955
-0.090776,0.000000,-0.119414,3.709364,1.144529,-2.764359,0.462653,0.944754,-0.337556
-0.103155,0.000000,-0.108899,3.418723,1.226782,-3.149897,0.779921,1.111167,-0.691760
-0.114324,0.000000,-0.097108,2.938234,1.261322,-3.335960,1.063603,1.219972,-1.170988
-0.124153,0.000000,-0.084178,2.360705,1.260974,-3.317928,1.260067,1.284790,-1.741182
-0.132527,0.000000,-0.070261,1.771124,1.240651,-3.121292,1.340999,1.323528,-2.370510
-0.139347,0.000000,-0.055521,1.234006,1.214003,-2.788651,1.296995,1.354506,-3.040367
-0.144532,0.000000,-0.040129,0.790074,1.191338,-2.367838,1.126444,1.393552,-3.749525
-0.148024,0.000000,-0.024267,0.459140,1.178792,-1.904842,0.824299,1.452240,-4.512380
-0.149780,0.000000,-0.008121,0.244871,1.178366,-1.442261,0.373330,1.537016,-5.353486
-0.149780,0.000000,0.008121,0.137876,1.188401,-1.021652,-0.261335,1.648838,-6.300127
-0.148024,0.000000,0.024267,0.115257,1.204147,-0.687079,-1.134325,1.783017,-7.373578
-0.144532,0.000000,0.040129,0.136571,1.218245,-0.486961,-2.318349,1.929114,-8.578853
-0.139347,0.000000,0.055521,0.137763,1.221138,-0.471820,-3.897407,2.070996,-9.892980
