far field @z=0.150000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.019375,-0.019375,0.150000,-31.277040,0.364857,-3.714125,14.665748,0.712348,2.110410
-0.019375,-0.018125,0.150000,-32.668932,0.257596,-3.922985,11.826555,0.725309,1.759633
-0.019375,-0.016875,0.150000,-33.743128,0.155621,-4.088995,9.047070,0.723346,1.411840
-0.019375,-0.015625,0.150000,-34.535902,0.060439,-4.216384,6.367709,0.708546,1.072986
-0.019375,-0.014375,0.150000,-35.085389,-0.026922,-4.309783,3.821106,0.683005,0.747983
-0.019375,-0.013125,0.150000,-35.430183,-0.105861,-4.374011,1.432789,0.648753,0.440771
-0.019375,-0.011875,0.150000,-35.608191,-0.176142,-4.413907,-0.778009,0.607698,0.154410
-0.019375,-0.010625,0.150000,-35.655714,-0.237836,-4.434181,-2.797463,0.561588,-0.108818
-0.019375,-0.009375,0.150000,-35.606748,-0.291257,-4.439308,-4.616250,0.511990,-0.347289
-0.019375,-0.008125,0.150000,-35.492466,-0.336911,-4.433437,-6.228650,0.460278,-0.559920
-0.019375,-0.006875,0.150000,-35.340858,-0.375447,-4.420335,-7.631697,0.407632,-0.746060
-0.019375,-0.005625,0.150000,-35.176486,-0.407608,-4.403337,-8.824395,0.355050,-0.905379
-0.019375,-0.004375,0.150000,-35.020348,-0.434197,-4.385325,-9.807020,0.303357,-1.037776
-0.019375,-0.003125,0.150000,-34.889799,-0.456048,-4.368706,-10.580513,0.253226,-1.143288
-0.019375,-0.001875,0.150000,-34.798519,-0.473994,-4.355407,-11.145978,0.205197,-1.222024
-0.019375,-0.000625,0.150000,-34.756505,-0.488851,-4.346871,-11.504277,0.159704,-1.274105
-0.019375,0.000625,0.150000,-34.770071,-0.501402,-4.344055,-11.655742,0.117089,-1.299619
-0.019375,0.001875,0.150000,-34.841845,-0.512383,-4.347431,-11.599991,0.077633,-1.298594
-0.019375,0.003125,0.150000,-34.970750,-0.522471,-4.356986,-11.335847,0.041570,-1.270983
-0.019375,0.004375,0.150000,-35.151974,-0.532278,-4.372222,-10.861379,0.009111,-1.216662
-0.019375,0.005625,0.150000,-35.376925,-0.542345,-4.392152,-10.174043,-0.019545,-1.135449
-0.019375,0.006875,0.150000,-35.633181,-0.553132,-4.415298,-9.270942,-0.044187,-1.027130
-0.019375,0.008125,0.150000,-35.904440,-0.565011,-4.439693,-8.149198,-0.064589,-0.891504
-0.019375,0.009375,0.150000,-36.170493,-0.578263,-4.462874,-6.806437,-0.080495,-0.728444
-0.019375,0.010625,0.150000,-36.407234,-0.593063,-4.481899,-5.241383,-0.091617,-0.537968
-0.019375,0.011875,0.150000,-36.586731,-0.609477,-4.493353,-3.454568,-0.097631,-0.320324
-0.019375,0.013125,0.150000,-36.677392,-0.627446,-4.493378,-1.449134,-0.098180,-0.076093
-0.019375,0.014375,0.150000,-36.644254,-0.646780,-4.477711,0.768273,-0.092881,0.193707
-0.019375,0.015625,0.150000,-36.449421,-0.667142,-4.441750,3.186541,-0.081334,0.487499
