near field @z=0.015000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.019375,-0.019375,0.015000,-12.855226,6.130229,-3.999686,5.615777,5.064988,10.899004
-0.019375,-0.018125,0.015000,-16.683799,5.088665,-10.693314,-0.540502,7.371368,7.998075
-0.019375,-0.016875,0.015000,-17.665347,3.375090,-15.654712,-8.559763,9.445109,1.580613
-0.019375,-0.015625,0.015000,-15.146385,1.110767,-17.350035,-17.096723,11.094507,-7.302220
-0.019375,-0.014375,0.015000,-9.130616,-1.516380,-14.919289,-24.690311,12.197806,-17.053983
-0.019375,-0.013125,0.015000,-0.224068,-4.288272,-8.313348,-30.075632,12.721229,-25.940583
-0.019375,-0.011875,0.015000,10.549513,-6.993364,1.784479,-32.415185,12.716100,-32.484971
-0.019375,-0.010625,0.015000,21.999154,-9.453432,14.198798,-31.408015,12.299184,-35.750168
-0.019375,-0.009375,0.015000,33.014261,-11.535383,27.575292,-27.274325,11.624069,-35.460394
-0.019375,-0.008125,0.015000,42.754584,-13.148780,40.674528,-20.644716,10.851590,-31.963702
-0.019375,-0.006875,0.015000,50.752596,-14.234104,52.577900,-12.400375,10.124685,-26.080429
-0.019375,-0.005625,0.015000,56.924263,-14.748723,62.774398,-3.511637,9.549552,-18.900163
-0.019375,-0.004375,0.015000,61.504040,-14.657041,71.133340,5.089202,9.182363,-11.585474
-0.019375,-0.003125,0.015000,64.929989,-13.929217,77.793792,12.583358,9.020103,-5.220353
-0.019375,-0.001875,0.015000,67.706070,-12.550149,83.012312,18.290936,8.995411,-0.715579
-0.019375,-0.000625,0.015000,70.264090,-10.537575,87.009008,21.662978,8.977562,1.238613
-0.019375,0.000625,0.015000,72.842136,-7.965503,89.843124,22.265300,8.783543,0.194279
-0.019375,0.001875,0.015000,75.392795,-4.986670,91.338817,19.779771,8.203145,-4.035500
-0.019375,0.003125,0.015000,77.534364,-1.845804,91.072832,14.041470,7.039407,-11.346696
-0.019375,0.004375,0.015000,78.559819,1.125083,88.428849,5.116324,5.160904,-21.302895
-0.019375,0.005625,0.015000,77.517940,3.536326,82.716592,-6.594349,2.556372,-33.096734
-0.019375,0.006875,0.015000,73.374395,4.997224,73.345131,-20.254525,-0.622696,-45.540117
-0.019375,0.008125,0.015000,65.245300,5.194117,60.027936,-34.544930,-4.047655,-57.113481
-0.019375,0.009375,0.015000,52.672683,3.975723,42.983341,-47.712925,-7.239539,-66.099045
-0.019375,0.010625,0.015000,35.886018,1.424558,23.081960,-57.754463,-9.641763,-70.806639
-0.019375,0.011875,0.015000,15.975567,-2.109095,1.887962,-62.730794,-10.731188,-69.874843
-0.019375,0.013125,0.015000,-5.097925,-6.029837,-18.450191,-61.179510,-10.146907,-62.599648
-0.019375,0.014375,0.015000,-24.709557,-9.584114,-35.478476,-52.535419,-7.806168,-49.215861
-0.019375,0.015625,0.015000,-39.997066,-12.002674,-46.863504,-37.446565,-3.973674,-31.043465
-0.019375,0.016875,0.015000,-48.448456,-12.672194,-50.895656,-17.868969,0.743313,-10.421547
-0.019375,0.018125,0.015000,-48.527691,-11.296258,-46.956157,3.141047,5.486267,9.609201
-0.019375,0.019375,0.015000,-40.174955,-8.001473,-35.815140,21.947824,9.313422,25.851862
-0.018125,-0.019375,0.015000,-14.562326,3.125672,-6.953522,0.647827,6.974776,9.192118
-0.018125,-0.018125,0.015000,-15.945228,1.208429,-12.392604,-7.174956,8.671633,4.161988
-0.018125,-0.016875,0.015000,-13.510185,-1.304587,-14.834673,-15.739217,9.868335,-3.708920
-0.018125,-0.015625,0.015000,-7.138134,-4.212318,-13.103206,-23.282633,10.392564,-12.767867
-0.018125,-0.014375,0.015000,2.501541,-7.258643,-6.932417,-28.205958,10.178746,-21.038748
-0.018125,-0.013125,0.015000,14.154088,-10.185895,3.037016,-29.404575,9.279118,-26.709456
-0.018125,-0.011875,0.015000,26.297121,-12.781940,15.493389,-26.447218,7.846986,-28.526039
-0.018125,-0.010625,0.015000,37.478712,-14.908145,28.825383,-19.581725,6.101085,-26.003139
-0.018125,-0.009375,0.015000,46.593119,-16.503484,41.511261,-9.596781,4.283691,-19.427913
-0.018125,-0.008125,0.015000,53.043205,-17.568068,52.423835,2.399594,2.623634,-9.696819
-0.018125,-0.006875,0.015000,56.776792,-18.134630,60.991565,15.215021,1.310257,1.937377
-0.018125,-0.005625,0.015000,58.216254,-18.238183,67.205896,27.762717,0.478501,14.124285
-0.018125,-0.004375,0.015000,58.118772,-17.892606,71.504945,39.171755,0.201131,25.615894
-0.018125,-0.003125,0.015000,57.407317,-17.079883,74.584527,48.810319,0.483232,35.377618
-0.018125,-0.001875,0.015000,57.003382,-15.754533,77.188802,56.238118,1.256274,42.614785
-0.018125,-0.000625,0.015000,57.678544,-13.862955,79.920915,61.119740,2.373045,46.743907
-0.018125,0.000625,0.015000,59.930171,-11.374914,83.097885,63.137340,3.608705,47.348513
-0.018125,0.001875,0.015000,63.881807,-8.321558,86.661035,61.939523,4.675104,44.155824
-0.018125,0.003125,0.015000,69.212372,-4.831333,90.146916,57.154383,5.254233,37.056972
-0.018125,0.004375,0.015000,75.127610,-1.152594,92.722642,48.479239,5.051982,26.174560
-0.018125,0.005625,0.015000,80.396506,2.348809,93.289971,35.838408,3.866171,11.961574
-0.018125,0.006875,0.015000,83.477599,5.225605,90.659299,19.576061,1.655242,-4.701233
-0.018125,0.008125,0.015000,82.749509,7.020274,83.784748,0.628801,-1.411358,-22.452992
-0.018125,0.009375,0.015000,76.834995,7.362507,72.034446,-19.390460,-4.940758,-39.489738
-0.018125,0.010625,0.015000,64.972688,6.073376,55.449468,-38.261407,-8.356293,-53.723298
-0.018125,0.011875,0.015000,47.355624,3.249170,34.927741,-53.415523,-10.991877,-63.068978
-0.018125,0.013125,0.015000,25.334684,-0.703214,12.264185,-62.375313,-12.228734,-65.832164
-0.018125,0.014375,0.015000,1.391025,-5.100083,-10.006804,-63.303793,-11.647301,-61.123506
-0.018125,0.015625,0.015000,-21.178566,-9.089588,-28.982638,-55.539964,-9.157154,-49.200072
