far field @z=0.050000
freq=27000000000.000000
sampling point=3721
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.000000,0.000000,-0.050000,0.000000,-0.000585,-0.625980,0.000000,0.001372,0.392777
-0.002617,0.000000,-0.049931,-0.326711,-0.000585,-0.609635,-0.440022,0.001373,0.416638
-0.005226,0.000000,-0.049726,-0.651817,-0.000584,-0.560573,-0.876688,0.001375,0.488118
-0.007822,0.000000,-0.049384,-0.973654,-0.000583,-0.478724,-1.306617,0.001379,0.606902
-0.010396,0.000000,-0.048907,-1.290451,-0.000582,-0.363992,-1.726381,0.001384,0.772452
-0.012941,0.000000,-0.048296,-1.600275,-0.000579,-0.216296,-2.132492,0.001391,0.983975
-0.015451,0.000000,-0.047553,-1.900997,-0.000576,-0.035612,-2.521387,0.001398,1.240393
-0.017918,0.000000,-0.046679,-2.190258,-0.000572,0.177959,-2.889434,0.001405,1.540306
-0.020337,0.000000,-0.045677,-2.465454,-0.000566,0.424133,-3.232940,0.001412,1.881944
-0.022700,0.000000,-0.044550,-2.723735,-0.000558,0.702358,-3.548178,0.001419,2.263124
-0.025000,0.000000,-0.043301,-2.962021,-0.000547,1.011743,-3.831421,0.001424,2.681210
-0.027232,0.000000,-0.041934,-3.177034,-0.000535,1.350977,-4.078996,0.001427,3.133073
-0.029389,0.000000,-0.040451,-3.365351,-0.000519,1.718255,-4.287341,0.001428,3.615063
-0.031466,0.000000,-0.038857,-3.523478,-0.000500,2.111214,-4.453085,0.001425,4.122990
-0.033457,0.000000,-0.037157,-3.647936,-0.000477,2.526881,-4.573125,0.001419,4.652123
-0.035355,0.000000,-0.035355,-3.735368,-0.000450,2.961640,-4.644718,0.001408,5.197201
-0.037157,0.000000,-0.033457,-3.782653,-0.000418,3.411216,-4.665568,0.001393,5.752466
-0.038857,0.000000,-0.031466,-3.787036,-0.000382,3.870691,-4.633924,0.001371,6.311713
-0.040451,0.000000,-0.029389,-3.746254,-0.000341,4.334541,-4.548660,0.001344,6.868362
-0.041934,0.000000,-0.027232,-3.658662,-0.000295,4.796707,-4.409357,0.001311,7.415545
-0.043301,0.000000,-0.025000,-3.523356,-0.000244,5.250697,-4.216370,0.001271,7.946215
-0.044550,0.000000,-0.022700,-3.340269,-0.000188,5.689705,-3.970871,0.001225,8.453271
-0.045677,0.000000,-0.020337,-3.110260,-0.000127,6.106770,-3.674888,0.001172,8.929685
-0.046679,0.000000,-0.017918,-2.835162,-0.000062,6.494945,-3.331310,0.001113,9.368650
-0.047553,0.000000,-0.015451,-2.517807,0.000008,6.847481,-2.943874,0.001048,9.763726
-0.048296,0.000000,-0.012941,-2.162014,0.000082,7.158021,-2.517123,0.000978,10.108977
-0.048907,0.000000,-0.010396,-1.772537,0.000160,7.420794,-2.056352,0.000903,10.399115
-0.049384,0.000000,-0.007822,-1.354980,0.000240,7.630789,-1.567515,0.000824,10.629625
-0.049726,0.000000,-0.005226,-0.915672,0.000323,7.783924,-1.057126,0.000741,10.796873
-0.049931,0.000000,-0.002617,-0.461521,0.000408,7.877176,-0.532131,0.000657,10.898198
-0.050000,0.000000,0.000000,0.000170,0.000493,7.908688,0.000228,0.000571,10.931979
-0.049931,0.000000,0.002617,0.461892,0.000579,7.877829,0.532555,0.000485,10.897675
-0.049726,0.000000,0.005226,0.916136,0.000664,7.785215,1.057459,0.000400,10.795839
-0.049384,0.000000,0.007822,1.355594,0.000748,7.632694,1.567698,0.000316,10.628107
-0.048907,0.000000,0.010396,1.773355,0.000829,7.423273,2.056332,0.000235,10.397150
-0.048296,0.000000,0.012941,2.163084,0.000908,7.161026,2.516854,0.000157,10.106613
-0.047553,0.000000,0.015451,2.519167,0.000983,6.850951,2.943319,0.000084,9.761020
-0.046679,0.000000,0.017918,2.836842,0.001054,6.498815,3.330443,0.000015,9.365667
-0.045677,0.000000,0.020337,3.112280,0.001120,6.110966,3.673691,-0.000049,8.926492
-0.044550,0.000000,0.022700,3.342639,0.001182,5.694150,3.969338,-0.000107,8.449940
-0.043301,0.000000,0.025000,3.526073,0.001238,5.255312,4.214506,-0.000159,7.942818
-0.041934,0.000000,0.027232,3.661715,0.001289,4.801413,4.407177,-0.000205,7.412151
-0.040451,0.000000,0.029389,3.749619,0.001334,4.339259,4.546187,-0.000245,6.865038
-0.038857,0.000000,0.031466,3.790682,0.001373,3.875349,4.631192,-0.000280,6.308520
-0.037157,0.000000,0.033457,3.786537,0.001407,3.415746,4.662619,-0.000309,5.749459
-0.035355,0.000000,0.035355,3.739440,0.001436,2.965981,4.641597,-0.000333,5.194426
-0.033457,0.000000,0.037157,3.652142,0.001460,2.530980,4.569884,-0.000353,4.649619
-0.031466,0.000000,0.038857,3.527756,0.001480,2.115027,4.449777,-0.000368,4.120787
-0.029389,0.000000,0.040451,3.369637,0.001495,1.721749,4.284022,-0.000380,3.613180
-0.027232,0.000000,0.041934,3.181261,0.001506,1.354129,4.075721,-0.000388,3.131522
-0.025000,0.000000,0.043301,2.966124,0.001515,1.014541,3.828246,-0.000394,2.679993
-0.022700,0.000000,0.044550,2.727647,0.001520,0.704798,3.545155,-0.000397,2.262235
-0.020337,0.000000,0.045677,2.469112,0.001524,0.426223,3.230119,-0.000399,1.881369
-0.017918,0.000000,0.046679,2.193602,0.001525,0.179717,2.886861,-0.000399,1.540025
-0.015451,0.000000,0.047553,1.903973,0.001526,-0.034162,2.519102,-0.000398,1.240379
-0.012941,0.000000,0.048296,1.602833,0.001525,-0.215119,2.130532,-0.000397,0.984194
-0.010396,0.000000,0.048907,1.292550,0.001524,-0.363050,1.724776,-0.000396,0.772870
-0.007822,0.000000,0.049384,0.975259,0.001523,-0.477969,1.305391,-0.000394,0.607478
-0.005226,0.000000,0.049726,0.652902,0.001522,-0.559956,0.875861,-0.000393,0.488807
-0.002617,0.000000,0.049931,0.327258,0.001522,-0.609101,0.439605,-0.000393,0.417397
-0.000000,0.000000,0.050000,0.000000,0.001521,-0.625474,0.000000,-0.000392,0.393560
-0.000000,-0.000000,-0.050000,0.000000,-0.000585,-0.625980,0.000000,0.001372,0.392777
-0.002602,-0.000274,-0.049931,-0.324921,-0.034736,-0.609632,-0.437612,-0.044623,0.416630
-0.005198,-0.000546,-0.049726,-0.648246,-0.068720,-0.560567,-0.871887,-0.090266,0.488102
