near field @z=0.015000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.019375,-0.019375,0.015000,2.501436,2.500504,8.868772,-5.545504,-5.547312,-12.995662
-0.019375,-0.018125,0.015000,4.908470,4.591668,13.597421,-4.310567,-4.034567,-8.130108
-0.019375,-0.016875,0.015000,6.663819,5.804692,15.810542,-2.155913,-1.879784,-1.974260
-0.019375,-0.015625,0.015000,7.473854,6.028775,15.422283,0.559922,0.449853,4.278427
-0.019375,-0.014375,0.015000,7.235918,5.370619,12.838954,3.414899,2.532524,9.642187
-0.019375,-0.013125,0.015000,6.030803,4.087736,8.762835,6.015304,4.074488,13.492996
-0.019375,-0.011875,0.015000,4.077488,2.501533,3.980511,8.065843,4.943930,15.602773
-0.019375,-0.010625,0.015000,1.668165,0.917090,-0.808943,9.406235,5.159296,16.079102
-0.019375,-0.009375,0.015000,-0.897381,-0.432220,-5.097225,10.013399,4.846812,15.252854
-0.019375,-0.008125,0.015000,-3.363232,-1.408775,-8.599214,9.976968,4.185957,13.556085
-0.019375,-0.006875,0.015000,-5.546873,-1.967048,-11.230479,9.460252,3.359245,11.421059
-0.019375,-0.005625,0.015000,-7.346221,-2.131974,-13.053580,8.658807,2.516427,9.215334
-0.019375,-0.004375,0.015000,-8.728814,-1.970566,-14.215358,7.765614,1.756215,7.213710
-0.019375,-0.003125,0.015000,-9.710381,-1.566000,-14.890729,6.947295,1.123269,5.598750
-0.019375,-0.001875,0.015000,-10.330020,-0.999665,-15.240464,6.331523,0.615479,4.477980
-0.019375,-0.000625,0.015000,-10.627685,-0.342895,-15.383900,6.002838,0.196386,3.906484
-0.019375,0.000625,0.015000,-10.627667,0.342777,-15.383897,6.002925,-0.190911,3.906335
-0.019375,0.001875,0.015000,-10.329958,0.999733,-15.240472,6.331781,-0.610046,4.477536
-0.019375,0.003125,0.015000,-9.710252,1.566430,-14.890793,6.947711,-1.117938,5.598022
-0.019375,0.004375,0.015000,-8.728582,1.971510,-14.215551,7.766159,-1.751074,7.212725
-0.019375,0.005625,0.015000,-7.345845,2.133548,-13.053992,8.659440,-2.511607,9.214143
-0.019375,0.006875,0.015000,-5.546317,1.969311,-11.231203,9.460911,-3.354914,11.419751
-0.019375,0.008125,0.015000,-3.362474,1.411710,-8.600327,9.977573,-4.182312,13.554790
-0.019375,0.009375,0.015000,-0.896427,0.435722,-5.098762,10.013858,-4.844056,15.251744
-0.019375,0.010625,0.015000,1.669271,-0.913221,-0.810867,9.406454,-5.157602,16.078375
-0.019375,0.011875,0.015000,4.078663,-2.497583,3.978322,8.065745,-4.943407,15.602621
-0.019375,0.013125,0.015000,6.031927,-4.084049,8.760599,6.014845,-4.075141,13.493565
-0.019375,0.014375,0.015000,7.236848,-5.367550,12.836963,3.414090,-2.534225,9.643526
-0.019375,0.015625,0.015000,7.474452,-6.026635,15.420864,0.558836,-0.452335,4.280447
-0.019375,0.016875,0.015000,6.663983,-5.803684,15.809981,-2.157138,1.876900,-1.971803
-0.019375,0.018125,0.015000,4.908157,-4.591834,13.597889,-4.311749,4.031728,-8.127597
