far field @z=0.150000
freq=27000000000.000000
sampling point=4096
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
0.015000,-0.157500,-0.157500,-0.119633,1.256091,-1.251151,-0.040511,0.425059,-0.473721
0.015000,-0.157500,-0.152500,0.086347,-0.906335,0.980590,-0.095535,1.003182,-1.011394
0.015000,-0.157500,-0.147500,0.058328,-0.612613,0.613371,0.117473,-1.233210,1.350704
0.015000,-0.157500,-0.142500,-0.132458,1.390623,-1.556299,0.016088,-0.169174,0.135251
0.015000,-0.157500,-0.137500,0.024594,-0.257935,0.352860,-0.133323,1.399778,-1.606675
0.015000,-0.157500,-0.132500,0.124020,-1.302181,1.535746,0.059484,-0.624257,0.800689
0.015000,-0.157500,-0.127500,-0.086704,0.910068,-1.181031,0.109059,-1.145157,1.388895
0.015000,-0.157500,-0.122500,-0.092553,0.971903,-1.212719,-0.106196,1.114750,-1.486730
0.015000,-0.157500,-0.117500,0.118982,-1.249013,1.724241,-0.077757,0.816591,-1.049067
0.015000,-0.157500,-0.112500,0.066979,-0.703443,0.933034,0.126446,-1.327394,1.906054
0.015000,-0.157500,-0.107500,-0.129760,1.362197,-2.043227,0.061697,-0.647991,0.893555
0.015000,-0.157500,-0.102500,-0.062724,0.658771,-0.954715,-0.129466,1.359116,-2.138369
0.015000,-0.157500,-0.097500,0.125213,-1.314449,2.178980,-0.070262,0.737896,-1.135578
0.015000,-0.157500,-0.092500,0.083744,-0.879419,1.446033,0.115649,-1.214006,2.131424
0.015000,-0.157500,-0.087500,-0.098568,1.034642,-1.937445,0.101418,-1.064933,1.876081
0.015000,-0.157500,-0.082500,-0.119726,1.257085,-2.376941,-0.071493,0.750354,-1.518110
0.015000,-0.157500,-0.077500,0.032935,-0.345531,0.793988,-0.132775,1.394007,-2.836303
0.015000,-0.157500,-0.072500,0.132525,-1.391287,3.059361,-0.015546,0.163447,-0.267489
0.015000,-0.157500,-0.067500,0.066909,-0.702632,1.573076,0.110652,-1.161554,2.782687
0.015000,-0.157500,-0.062500,-0.062915,0.660317,-1.762395,0.107301,-1.126599,2.814628
0.015000,-0.157500,-0.057500,-0.118553,1.244591,-3.442727,0.004533,-0.047794,0.032025
0.015000,-0.157500,-0.052500,-0.070539,0.740672,-2.161533,-0.087062,0.913864,-2.830375
0.015000,-0.157500,-0.047500,0.017776,-0.186436,0.727620,-0.103095,1.082313,-3.602267
0.015000,-0.157500,-0.042500,0.078025,-0.818995,3.125150,-0.056516,0.593417,-2.130943
0.015000,-0.157500,-0.037500,0.087068,-0.914002,3.865323,0.005742,-0.060131,0.364913
0.015000,-0.157500,-0.032500,0.060365,-0.633734,3.027823,0.048443,-0.508418,2.573320
0.015000,-0.157500,-0.027500,0.024045,-0.252490,1.352130,0.062353,-0.654453,3.822464
0.015000,-0.157500,-0.022500,-0.004056,0.042490,-0.415734,0.055470,-0.582219,4.103103
0.015000,-0.157500,-0.017500,-0.018180,0.190738,-1.838609,0.039916,-0.418939,3.755232
0.015000,-0.157500,-0.012500,-0.020253,0.212480,-2.792009,0.024337,-0.255388,3.170798
0.015000,-0.157500,-0.007500,-0.014656,0.153691,-3.332991,0.012307,-0.129093,2.644022
0.015000,-0.157500,-0.002500,-0.005260,0.055034,-3.567783,0.003672,-0.038420,2.344696
0.015000,-0.157500,0.002500,0.005230,-0.055093,-3.567749,-0.003646,0.038444,2.344772
0.015000,-0.157500,0.007500,0.014628,-0.153742,-3.332869,-0.012280,0.129130,2.644239
0.015000,-0.157500,0.012500,0.020230,-0.212509,-2.791748,-0.024306,0.255449,3.171116
0.015000,-0.157500,0.017500,0.018163,-0.190724,-1.838145,-0.039882,0.419021,3.755561
0.015000,-0.157500,0.022500,0.004049,-0.042411,-0.415040,-0.055433,0.582299,4.103290
0.015000,-0.157500,0.027500,-0.024040,0.252641,1.352976,-0.062315,0.654481,3.822312
0.015000,-0.157500,0.032500,-0.060346,0.633916,3.028579,-0.048410,0.508329,2.572679
0.015000,-0.157500,0.037500,-0.087034,0.914112,3.865606,-0.005720,0.059895,0.363839
0.015000,-0.157500,0.042500,-0.077983,0.818899,3.124638,0.056517,-0.593724,-2.132049
0.015000,-0.157500,0.047500,-0.017739,0.186090,0.726392,0.103068,-1.082485,-3.602736
0.015000,-0.157500,0.052500,0.070549,-0.741088,-2.162769,0.087013,-0.913682,-2.829724
0.015000,-0.157500,0.057500,0.118521,-1.244700,-3.442959,-0.004577,0.048304,0.033472
0.015000,-0.157500,0.062500,0.062856,-0.659893,-1.761259,-0.107303,1.127008,2.815643
0.015000,-0.157500,0.067500,-0.066944,0.703255,1.574554,-0.110599,1.161350,2.782158
0.015000,-0.157500,0.072500,-0.132492,1.391360,3.059498,0.015606,-0.164162,-0.269086
0.015000,-0.157500,0.077500,-0.032862,0.344831,0.792521,0.132768,-1.394352,-2.837006
0.015000,-0.157500,0.082500,0.119744,-1.257654,-2.378052,0.071417,-0.749740,-1.516904
0.015000,-0.157500,0.087500,0.098495,-1.034144,-1.936528,-0.101458,1.065671,1.877446
0.015000,-0.157500,0.092500,-0.083800,0.880276,1.447533,-0.115583,1.213620,2.130760
0.015000,-0.157500,0.097500,-0.125153,1.314149,2.178500,0.070330,-0.738833,-1.137135
0.015000,-0.157500,0.102500,0.062799,-0.659762,-0.956283,0.129410,-1.358862,-2.137991
0.015000,-0.157500,0.107500,0.129703,-1.361941,-2.042868,-0.061776,0.649018,0.895105
0.015000,-0.157500,0.112500,-0.067058,0.704487,0.934542,-0.126386,1.327085,1.905640
0.015000,-0.157500,0.117500,-0.118915,1.248600,1.723704,0.077834,-0.817627,-1.050504
0.015000,-0.157500,0.122500,0.092621,-0.972891,-1.214040,0.106119,-1.114188,-1.486020
0.015000,-0.157500,0.127500,0.086614,-0.909325,-1.180119,-0.109114,1.146041,1.390040
0.015000,-0.157500,0.132500,-0.124055,1.302886,1.536639,-0.059383,0.623325,0.799577
0.015000,-0.157500,0.137500,-0.024487,0.256841,0.351591,0.133331,-1.400219,-1.607233
0.015000,-0.157500,0.142500,0.132436,-1.390720,-1.556452,-0.016193,0.170356,0.136588
0.015000,-0.157500,0.147500,-0.058420,0.613764,0.614643,-0.117418,1.232907,1.350414
0.015000,-0.157500,0.152500,-0.086261,0.905633,0.979881,0.095601,-1.004144,-1.012440
0.015000,-0.157500,0.157500,0.119660,-1.256696,-1.251810,0.040407,-0.424034,-0.472691
0.015000,-0.152500,-0.157500,0.088514,-0.899584,0.914875,-0.097769,0.994058,-0.938182
0.015000,-0.152500,-0.152500,0.051772,-0.526549,0.484255,0.124321,-1.263677,1.294369
0.015000,-0.152500,-0.147500,-0.137372,1.396462,-1.455901,-0.001777,0.017781,-0.071498
0.015000,-0.152500,-0.142500,0.052696,-0.535420,0.629194,-0.129705,1.318620,-1.402937
0.015000,-0.152500,-0.137500,0.106883,-1.086706,1.178005,0.094234,-0.957727,1.114795
0.015000,-0.152500,-0.132500,-0.123497,1.255264,-1.488959,0.075652,-0.769289,0.842277
0.015000,-0.152500,-0.127500,-0.042171,0.428962,-0.457916,-0.140789,1.431113,-1.745013
0.015000,-0.152500,-0.122500,0.148468,-1.509233,1.900619,-0.011067,0.112784,-0.076844
0.015000,-0.152500,-0.117500,-0.014757,0.149723,-0.263477,0.149790,-1.522723,1.987544
0.015000,-0.152500,-0.112500,-0.148014,1.504701,-2.042510,-0.033820,0.343515,-0.538647
0.015000,-0.152500,-0.107500,0.045538,-0.462644,0.732396,-0.145824,1.482454,-2.100269
0.015000,-0.152500,-0.102500,0.145007,-1.474155,2.188504,0.049679,-0.504740,0.830139
0.015000,-0.152500,-0.097500,-0.045950,0.466837,-0.812750,0.146259,-1.486874,2.323076
0.015000,-0.152500,-0.092500,-0.148996,1.514663,-2.501759,-0.033833,0.343656,-0.652416
0.015000,-0.152500,-0.087500,0.012759,-0.129431,0.313275,-0.151125,1.536265,-2.694903
0.015000,-0.152500,-0.082500,0.148872,-1.513309,2.833395,-0.017240,0.175520,-0.238836
0.015000,-0.152500,-0.077500,0.054356,-0.552786,1.011823,0.136949,-1.392037,2.798619
0.015000,-0.152500,-0.072500,-0.109603,1.113981,-2.427074,0.093442,-0.950054,1.943993
0.015000,-0.152500,-0.067500,-0.124801,1.268733,-2.848253,-0.063162,0.641837,-1.551973
0.015000,-0.152500,-0.062500,0.000199,-0.001794,0.106800,-0.134831,1.370568,-3.375141
0.015000,-0.152500,-0.057500,0.110605,-1.124185,3.063492,-0.066122,0.672318,-1.709100
0.015000,-0.152500,-0.052500,0.111545,-1.133923,3.280607,0.049274,-0.500673,1.567327
0.015000,-0.152500,-0.047500,0.031320,-0.318543,0.924885,0.109678,-1.114792,3.643191
0.015000,-0.152500,-0.042500,-0.052112,0.529550,-2.017387,0.091413,-0.929259,3.308929
0.015000,-0.152500,-0.037500,-0.090023,0.914968,-3.794690,0.031734,-0.322703,1.214208
0.015000,-0.152500,-0.032500,-0.081243,0.825788,-3.877042,-0.024273,0.246576,-1.282346
0.015000,-0.152500,-0.027500,-0.049296,0.501102,-2.714987,-0.054253,0.551322,-3.167850
0.015000,-0.152500,-0.022500,-0.017030,0.173158,-1.066171,-0.058652,0.596044,-4.112325
0.015000,-0.152500,-0.017500,0.004001,-0.040591,0.481538,-0.048040,0.488179,-4.283923
0.015000,-0.152500,-0.012500,0.012213,-0.124039,1.645683,-0.032610,0.331328,-4.036271
0.015000,-0.152500,-0.007500,0.010868,-0.110344,2.373767,-0.018036,0.183170,-3.694474
0.015000,-0.152500,-0.002500,0.004183,-0.042383,2.713619,-0.005686,0.057614,-3.473389
0.015000,-0.152500,0.002500,-0.004162,0.042434,2.713558,0.005650,-0.057658,-3.473454
0.015000,-0.152500,0.007500,-0.010849,0.110382,2.373569,0.017999,-0.183226,-3.694651
0.015000,-0.152500,0.012500,-0.012200,0.124047,1.645309,0.032571,-0.331401,-4.036499
0.015000,-0.152500,0.017500,-0.003996,0.040546,0.480956,0.048000,-0.488257,-4.284086
0.015000,-0.152500,0.022500,0.017024,-0.173270,-1.066931,0.058612,-0.596094,-4.112254
0.015000,-0.152500,0.027500,0.049278,-0.501266,-2.715766,0.054217,-0.551289,-3.167376
0.015000,-0.152500,0.032500,0.081211,-0.825935,-3.877529,0.024246,-0.246410,-1.281415
0.015000,-0.152500,0.037500,0.089981,-0.914976,-3.794519,-0.031744,0.322987,1.215371
0.015000,-0.152500,0.042500,0.052069,-0.529315,-2.016413,-0.091397,0.929519,3.309769
0.015000,-0.152500,0.047500,-0.031346,0.318963,0.926265,-0.109635,1.114796,3.643076
0.015000,-0.152500,0.052500,-0.111532,1.134233,3.281450,-0.049221,0.500290,1.566125
0.015000,-0.152500,0.057500,-0.110552,1.124022,3.062978,0.066149,-0.672859,-1.710549
0.015000,-0.152500,0.062500,-0.000142,0.001176,0.105238,0.134801,-1.370716,-3.375459
0.015000,-0.152500,0.067500,0.124804,-1.269184,-2.849269,0.063092,-0.641294,-1.550690
0.015000,-0.152500,0.072500,0.109537,-1.113619,-2.426270,-0.093478,0.950736,1.945454
0.015000,-0.152500,0.077500,-0.054418,0.553609,1.013484,-0.136898,1.391899,2.798328
0.015000,-0.152500,0.082500,-0.148839,1.513392,2.833550,0.017320,-0.176410,-0.240525
0.015000,-0.152500,0.087500,-0.012670,0.128522,0.311651,0.151110,-1.536535,-2.695393
0.015000,-0.152500,0.092500,0.148995,-1.515075,-2.502469,0.033738,-0.342747,-0.650885
0.015000,-0.152500,0.097500,0.045852,-0.465926,-0.811297,-0.146269,1.487378,2.323904
0.015000,-0.152500,0.102500,-0.145022,1.474702,2.189361,-0.049578,0.503808,0.828728
0.015000,-0.152500,0.107500,-0.045434,0.461667,0.730988,0.145838,-1.482990,-2.101077
0.015000,-0.152500,0.112500,0.148023,-1.505172,-2.043196,0.033712,-0.342472,-0.537210
0.015000,-0.152500,0.117500,0.014647,-0.148606,-0.262000,-0.149786,1.523066,1.988036
0.015000,-0.152500,0.122500,-0.148446,1.509381,1.900849,0.011176,-0.113963,-0.078346
0.015000,-0.152500,0.127500,0.042275,-0.430161,-0.459392,0.140745,-1.431004,-1.744921
