far field @z=0.005000
freq=27000000000.000000
sampling point=3721
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.000000,0.000000,-0.005000,0.000000,-0.003178,-108.450635,0.000000,0.018738,24.894854
-0.000262,0.000000,-0.004993,-10.243391,-0.003169,-107.611397,-5.988599,0.018703,25.558311
-0.000523,0.000000,-0.004973,-20.212661,-0.003140,-105.133674,-11.686654,0.018602,27.498495
-0.000782,0.000000,-0.004938,-29.659871,-0.003084,-101.130879,-16.839150,0.018446,30.573908
-0.001040,0.000000,-0.004891,-38.382961,-0.002991,-95.772432,-21.253125,0.018249,34.575844
-0.001294,0.000000,-0.004830,-46.235292,-0.002852,-89.261000,-24.810067,0.018025,39.259859
-0.001545,0.000000,-0.004755,-53.125161,-0.002663,-81.810437,-27.464350,0.017787,44.376204
-0.001792,0.000000,-0.004668,-59.008232,-0.002419,-73.628620,-29.231772,0.017541,49.693366
-0.002034,0.000000,-0.004568,-63.876715,-0.002124,-64.906713,-30.173514,0.017290,55.012536
-0.002270,0.000000,-0.004455,-67.748394,-0.001781,-55.814238,-30.379898,0.017032,60.173824
-0.002500,0.000000,-0.004330,-70.657373,-0.001400,-46.498340,-29.956555,0.016765,65.056456
-0.002723,0.000000,-0.004193,-72.647170,-0.000988,-37.085490,-29.013967,0.016483,69.575393
-0.002939,0.000000,-0.004045,-73.766057,-0.000554,-27.684254,-27.660263,0.016182,73.676306
-0.003147,0.000000,-0.003886,-74.064192,-0.000107,-18.388254,-25.996682,0.015855,77.330184
-0.003346,0.000000,-0.003716,-73.592027,0.000343,-9.278833,-24.114988,0.015499,80.528269
-0.003536,0.000000,-0.003536,-72.399528,0.000790,-0.427268,-22.096205,0.015109,83.277611
-0.003716,0.000000,-0.003346,-70.535882,0.001227,8.103520,-20.010192,0.014685,85.597315
-0.003886,0.000000,-0.003147,-68.049450,0.001647,16.257674,-17.915729,0.014224,87.515422
-0.004045,0.000000,-0.002939,-64.987837,0.002048,23.985449,-15.860898,0.013725,89.066331
-0.004193,0.000000,-0.002723,-61.397981,0.002424,31.242525,-13.883625,0.013189,90.288657
