far field @z=0.050000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.019375,-0.019375,0.050000,56.106455,-3.494078,19.241577,10.801486,-4.714765,-0.575543
-0.019375,-0.018125,0.050000,53.922508,-2.328068,19.646341,25.100057,-5.410595,4.599898
-0.019375,-0.016875,0.050000,48.602842,-1.114069,18.794129,38.233818,-5.774271,9.654374
-0.019375,-0.015625,0.050000,40.779179,0.053745,16.852672,49.592074,-5.837392,14.293399
-0.019375,-0.014375,0.050000,31.162627,1.103632,14.048739,58.816176,-5.652135,18.309143
-0.019375,-0.013125,0.050000,20.464390,1.988098,10.635217,65.782033,-5.281221,21.583512
-0.019375,-0.011875,0.050000,9.335768,2.682442,6.863265,70.563201,-4.789233,24.081055
-0.019375,-0.010625,0.050000,-1.670561,3.181122,2.961655,73.383762,-4.235976,25.835113
-0.019375,-0.009375,0.050000,-12.119135,3.493015,-0.876144,74.568872,-3.672087,26.930593
-0.019375,-0.008125,0.050000,-21.693460,3.636470,-4.497672,74.498806,-3.136739,27.486141
-0.019375,-0.006875,0.050000,-30.185186,3.634830,-7.791278,73.570106,-2.657043,27.637735
-0.019375,-0.005625,0.050000,-37.475173,3.512801,-10.681622,72.165403,-2.248670,27.524904
-0.019375,-0.004375,0.050000,-43.510461,3.293866,-13.122540,70.631902,-1.917216,27.280019
-0.019375,-0.003125,0.050000,-48.280467,2.998740,-15.088731,69.267367,-1.659920,27.020562
-0.019375,-0.001875,0.050000,-51.794847,2.644775,-16.567487,68.311841,-1.467432,26.843913
-0.019375,-0.000625,0.050000,-54.064770,2.246128,-17.551355,67.943157,-1.325484,26.823992
-0.019375,0.000625,0.050000,-55.088701,1.814526,-18.032375,68.274381,-1.216382,27.009116
-0.019375,0.001875,0.050000,-54.843413,1.360414,-17.998327,69.351747,-1.120361,27.420482
-0.019375,0.003125,0.050000,-53.280721,0.894302,-17.431267,71.152136,-1.016858,28.050918
-0.019375,0.004375,0.050000,-50.330279,0.428121,-16.308504,73.579823,-0.885832,28.863769
-0.019375,0.005625,0.050000,-45.908698,-0.023599,-14.606111,76.462889,-0.709205,29.792054
-0.019375,0.006875,0.050000,-39.935080,-0.442929,-12.304902,79.550429,-0.472502,30.738316
-0.019375,0.008125,0.050000,-32.352722,-0.808310,-9.398667,82.512331,-0.166674,31.575813
-0.019375,0.009375,0.050000,-23.156192,-1.095088,-5.904180,84.943990,0.209985,32.151895
-0.019375,0.010625,0.050000,-12.422158,-1.276942,-1.872181,86.378597,0.650016,32.294451
-0.019375,0.011875,0.050000,-0.341229,-1.328299,2.601869,86.309626,1.135378,31.822236
-0.019375,0.013125,0.050000,12.753149,-1.227656,7.368909,84.225552,1.636799,30.559581
-0.019375,0.014375,0.050000,26.363949,-0.961611,12.221255,79.657606,2.114321,28.355448
-0.019375,0.015625,0.050000,39.824098,-0.529165,16.893632,72.239462,2.519419,25.105991
-0.019375,0.016875,0.050000,52.310655,0.054316,21.072359,61.775083,2.798939,20.778839
-0.019375,0.018125,0.050000,62.885184,0.754281,24.414272,48.307940,2.900889,15.436209
-0.019375,0.019375,0.050000,70.563674,1.516173,26.575936,32.181686,2.781747,9.253039
-0.018125,-0.019375,0.050000,54.391549,-2.266011,18.334659,23.229693,-5.333431,3.197431
-0.018125,-0.018125,0.050000,48.971836,-0.952940,17.685724,37.295961,-5.728076,8.220228
-0.018125,-0.016875,0.050000,40.598174,0.326058,15.847831,49.460925,-5.778580,12.871650
-0.018125,-0.015625,0.050000,30.058845,1.483659,13.043274,59.236611,-5.540084,16.898826
-0.018125,-0.014375,0.050000,18.167542,2.460566,9.534638,66.413845,-5.083196,20.145565
-0.018125,-0.013125,0.050000,5.684819,3.224906,5.591735,71.026219,-4.483213,22.548771
-0.018125,-0.011875,0.050000,-6.735960,3.768572,1.465612,73.298112,-3.811550,24.125794
-0.018125,-0.010625,0.050000,-18.578131,4.101802,-2.628957,73.586899,-3.129832,24.956561
-0.018125,-0.009375,0.050000,-29.469726,4.247187,-6.522618,72.327321,-2.486613,25.163961
-0.018125,-0.008125,0.050000,-39.174714,4.233990,-10.093336,69.983396,-1.916311,24.895144
-0.018125,-0.006875,0.050000,-47.572781,4.093388,-13.262749,67.010652,-1.439794,24.305478
-0.018125,-0.005625,0.050000,-54.632679,3.854905,-15.988843,63.829322,-1.066009,23.546014
-0.018125,-0.004375,0.050000,-60.383361,3.544123,-18.256660,60.807511,-0.794112,22.754572
-0.018125,-0.003125,0.050000,-64.886052,3.181543,-20.068501,58.252400,-0.615671,22.050034
-0.018125,-0.001875,0.050000,-68.209433,2.782434,-21.434692,56.407037,-0.516689,21.529117
-0.018125,-0.000625,0.050000,-70.409237,2.357435,-22.365669,55.450275,-0.479284,21.264802
-0.018125,0.000625,0.050000,-71.512981,1.913696,-22.865856,55.497683,-0.483034,21.305606
-0.018125,0.001875,0.050000,-71.510212,1.456359,-22.929629,56.601731,-0.506044,21.675047
-0.018125,0.003125,0.050000,-70.348532,0.990211,-22.539543,58.750157,-0.525850,22.370866
-0.018125,0.004375,0.050000,-67.935668,0.521344,-21.666955,61.862148,-0.520345,23.363819
-0.018125,0.005625,0.050000,-64.147944,0.058657,-20.275120,65.782654,-0.468828,24.596160
-0.018125,0.006875,0.050000,-58.845479,-0.384954,-18.324828,70.275993,-0.353324,25.980213
-0.018125,0.008125,0.050000,-51.894288,-0.791918,-15.782480,75.020624,-0.160207,27.397704
-0.018125,0.009375,0.050000,-43.194999,-1.140010,-12.630358,79.607684,0.117913,28.700755
-0.018125,0.010625,0.050000,-32.717127,-1.403246,-8.878506,83.546393,0.480172,29.715593
-0.018125,0.011875,0.050000,-20.536714,-1.553802,-4.577243,86.279635,0.915578,30.249987
-0.018125,0.013125,0.050000,-6.873731,-1.564975,0.171136,87.212702,1.401636,30.105288
-0.018125,0.014375,0.050000,7.875915,-1.415091,5.203397,85.757235,1.903913,29.093444
-0.018125,0.015625,0.050000,23.120286,-1.092043,10.291429,81.390566,2.377022,27.058709
-0.018125,0.016875,0.050000,38.070615,-0.597945,15.145726,73.728061,2.767378,23.902750
-0.018125,0.018125,0.050000,51.767010,0.046845,19.428438,62.602702,3.017961,19.610754
-0.018125,0.019375,0.050000,63.136271,0.801216,22.777341,48.142493,3.074985,14.274969
-0.016875,-0.019375,0.050000,50.373276,-1.024566,16.740420,34.698004,-5.625531,6.300173
-0.016875,-0.018125,0.050000,41.906757,0.356221,15.196311,47.903684,-5.708250,10.961817
-0.016875,-0.016875,0.050000,30.808372,1.622673,12.577477,58.534302,-5.453908,15.043803
-0.016875,-0.015625,0.050000,17.993867,2.699245,9.146340,66.251858,-4.938569,18.342010
-0.016875,-0.014375,0.050000,4.346540,3.542670,5.186640,71.012449,-4.247583,20.754098
