far field @z=0.030000
freq=27000000000.000000
sampling point=256
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.037500,-0.037500,0.030000,-1.539796,-2.844703,-5.520941,-6.094234,0.455782,-5.088339
-0.037500,-0.032500,0.030000,9.109770,-1.538784,8.115953,-0.201157,-3.596362,-4.422691
-0.037500,-0.027500,0.030000,0.337757,3.654069,4.235286,12.707290,-3.672841,11.347649
-0.037500,-0.022500,0.030000,-16.406176,6.448972,-14.720678,4.248995,1.498329,7.313405
-0.037500,-0.017500,0.030000,-14.087146,4.019926,-16.602184,-16.369483,6.976776,-14.734478
-0.037500,-0.012500,0.030000,4.086823,-0.709643,1.364887,-26.021911,9.098088,-28.900322
-0.037500,-0.007500,0.030000,21.070054,-3.945815,21.280321,-22.440439,8.490725,-28.724337
-0.037500,-0.002500,0.030000,30.129556,-4.144938,33.107267,-16.745534,7.271612,-25.014773
-0.037500,0.002500,0.030000,32.450074,-1.645236,35.561745,-17.732698,5.939517,-27.773807
-0.037500,0.007500,0.030000,26.543203,1.688475,25.917568,-27.237243,3.045253,-38.084249
-0.037500,0.012500,0.030000,6.691238,2.068011,0.302152,-37.015458,-1.710813,-44.433184
-0.037500,0.017500,0.030000,-22.888897,-2.605067,-30.595447,-27.755124,-3.605272,-27.101589
-0.037500,0.022500,0.030000,-32.579407,-5.671271,-33.823788,7.786071,2.024411,13.025579
-0.037500,0.027500,0.030000,-0.091470,1.033646,3.287545,30.568204,6.734551,31.153030
-0.037500,0.032500,0.030000,27.467882,6.889070,26.631916,1.436285,-0.721655,-0.908481
-0.037500,0.037500,0.030000,-1.478606,-1.301173,-2.934876,-24.482609,-6.463606,-22.298431
-0.032500,-0.037500,0.030000,6.818672,-0.082038,4.776681,-2.634319,-2.331997,-6.318435
-0.032500,-0.032500,0.030000,-0.123365,3.508571,4.642253,10.337957,-0.685152,8.316424
-0.032500,-0.027500,0.030000,-14.483050,2.311845,-11.885450,-2.103744,4.552463,3.052007
-0.032500,-0.022500,0.030000,0.621425,-4.098737,-3.813707,-20.086634,5.447264,-16.343232
