near field @z=0.015000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.077500,-0.077500,0.015000,-0.537573,0.867890,1.140858,-1.437960,2.011384,1.351483
-0.077500,-0.072500,0.015000,1.367993,-2.209880,-1.959293,-0.198914,0.341123,0.388694
-0.077500,-0.067500,0.015000,0.069443,0.025547,0.537075,1.206483,-2.244811,-2.222097
-0.077500,-0.062500,0.015000,-1.035134,2.208611,2.207096,0.147177,0.155297,1.468765
-0.077500,-0.057500,0.015000,-0.401444,-0.005519,-2.322012,-0.874130,2.151674,2.069732
-0.077500,-0.052500,0.015000,0.676665,-2.040770,-2.012639,-0.789358,0.446296,-3.082855
-0.077500,-0.047500,0.015000,1.240878,-1.178899,3.742928,0.339835,-1.726965,-2.273188
-0.077500,-0.042500,0.015000,0.256033,0.952261,3.115675,1.612196,-2.032423,4.178717
-0.077500,-0.037500,0.015000,-1.639743,2.551603,-3.973763,1.147501,-0.512220,4.736956
-0.077500,-0.032500,0.015000,-2.114229,2.467525,-6.913373,-0.989212,1.937870,-2.287564
-0.077500,-0.027500,0.015000,-0.465284,0.443190,-1.800938,-2.545648,3.732837,-8.294469
-0.077500,-0.022500,0.015000,1.678155,-2.339339,5.993370,-2.164531,3.669991,-7.708803
-0.077500,-0.017500,0.015000,2.737816,-4.335894,10.831475,-0.537130,2.059919,-2.252962
-0.077500,-0.012500,0.015000,2.562573,-4.999571,11.682362,1.059659,0.150102,3.925198
-0.077500,-0.007500,0.015000,1.844084,-4.768495,10.539264,2.028926,-1.067729,8.406940
-0.077500,-0.002500,0.015000,1.231021,-4.244775,9.661148,2.460174,-1.273564,10.774361
-0.077500,0.002500,0.015000,1.066779,-3.622429,10.363838,2.622009,-0.597539,11.172637
-0.077500,0.007500,0.015000,1.500171,-2.646892,12.779029,2.573131,0.547644,9.200960
-0.077500,0.012500,0.015000,2.476885,-1.025271,15.493902,1.988431,1.382963,3.897770
-0.077500,0.017500,0.015000,3.394158,0.822674,15.200352,0.322902,0.909892,-4.778269
-0.077500,0.022500,0.015000,2.848904,1.359531,8.156394,-2.314281,-1.032604,-13.347224
-0.077500,0.027500,0.015000,-0.242255,-0.657115,-4.874257,-3.943386,-2.429799,-14.334327
-0.077500,0.032500,0.015000,-3.888417,-3.215854,-14.135537,-1.678953,-0.465902,-3.116784
-0.077500,0.037500,0.015000,-3.042459,-1.742727,-7.974921,3.319938,3.384263,11.132912
-0.077500,0.042500,0.015000,2.734916,3.174824,8.027316,3.862650,2.709128,10.026897
-0.077500,0.047500,0.015000,4.274430,3.230494,10.371622,-2.412446,-2.936912,-5.963062
-0.077500,0.052500,0.015000,-2.464316,-2.883498,-5.116487,-4.374285,-3.339868,-9.832589
-0.077500,0.057500,0.015000,-4.167536,-3.084798,-8.773759,2.885633,3.060824,5.259646
-0.077500,0.062500,0.015000,3.571425,3.386654,6.021660,3.581574,2.479236,7.238950
-0.077500,0.067500,0.015000,2.524188,1.531361,5.151549,-4.310997,-3.689150,-6.953806
-0.077500,0.072500,0.015000,-4.794099,-3.747387,-7.544749,-0.974082,-0.302972,-2.502449
-0.077500,0.077500,0.015000,0.920888,1.037425,0.497309,4.667470,3.353267,7.285245
-0.072500,-0.077500,0.015000,1.693406,-2.235554,-1.530675,0.249352,-0.158488,0.764757
-0.072500,-0.072500,0.015000,-0.667662,0.887767,0.216889,1.423108,-2.150289,-1.904015
-0.072500,-0.067500,0.015000,-1.137767,1.924005,1.766945,-0.812051,1.397745,1.272332
-0.072500,-0.062500,0.015000,0.732107,-1.655572,-2.189920,-0.962008,1.719964,1.234895
-0.072500,-0.057500,0.015000,0.941140,-1.661543,-0.500894,0.487379,-1.664608,-2.907017
-0.072500,-0.052500,0.015000,-0.104228,1.409322,3.501216,1.045952,-1.802859,0.237846
-0.072500,-0.047500,0.015000,-1.176531,2.093227,-0.788850,0.431319,0.817647,4.140962
-0.072500,-0.042500,0.015000,-1.132792,0.216324,-5.005890,-1.155086,2.312125,-0.900000
-0.072500,-0.037500,0.015000,0.735560,-2.001809,0.154253,-1.913524,1.676231,-6.128312
-0.072500,-0.032500,0.015000,2.451691,-3.081404,7.056414,-0.289052,-0.569535,-2.033154
-0.072500,-0.027500,0.015000,1.797094,-2.096146,5.927119,2.163475,-3.180732,6.375158
-0.072500,-0.022500,0.015000,-0.571553,0.568734,-1.836918,2.988872,-4.465863,10.006549
-0.072500,-0.017500,0.015000,-2.554895,3.303994,-9.386709,1.848655,-3.833958,6.967778
-0.072500,-0.012500,0.015000,-3.175671,4.874068,-13.140480,0.027998,-2.203467,0.981119
-0.072500,-0.007500,0.015000,-2.849341,5.197606,-13.907574,-1.395393,-0.838019,-4.267131
-0.072500,-0.002500,0.015000,-2.369279,4.752381,-13.975070,-2.167354,-0.401048,-7.187305
-0.072500,0.002500,0.015000,-2.279249,3.806095,-14.904206,-2.423342,-0.856701,-7.321773
-0.072500,0.007500,0.015000,-2.782752,2.266371,-16.659308,-2.147160,-1.623043,-4.150809
-0.072500,0.012500,0.015000,-3.626324,0.207796,-17.166735,-0.963861,-1.687554,2.739515
-0.072500,0.017500,0.015000,-3.759403,-1.340726,-12.696064,1.429642,-0.213783,11.696367
-0.072500,0.022500,0.015000,-1.604429,-0.625205,-1.085331,4.006068,1.985670,16.807048
-0.072500,0.027500,0.015000,2.699099,2.289092,12.298586,3.750506,1.933429,10.511072
-0.072500,0.032500,0.015000,4.806098,3.305964,14.260073,-1.041822,-1.780389,-5.641395
-0.072500,0.037500,0.015000,0.306966,-0.901425,-0.499139,-5.171496,-4.190473,-14.368356
-0.072500,0.042500,0.015000,-5.269543,-4.590004,-13.159636,-1.115578,0.177441,-2.305224
-0.072500,0.047500,0.015000,-1.344202,-0.122481,-3.153301,5.354173,4.705725,11.920975
-0.072500,0.052500,0.015000,5.486794,4.668994,11.023399,1.004985,-0.057661,2.596456
-0.072500,0.057500,0.015000,0.128008,-0.659519,1.051180,-5.562124,-4.472993,-10.313185
-0.072500,0.062500,0.015000,-5.353993,-4.012096,-9.401180,1.199035,1.548225,1.146131
-0.072500,0.067500,0.015000,2.761390,2.507984,3.593754,4.593512,3.163325,7.863091
-0.072500,0.072500,0.015000,3.094304,1.882875,5.427272,-4.173794,-3.247361,-5.730998
-0.072500,0.077500,0.015000,-4.924091,-3.455183,-6.879529,-0.907051,-0.291763,-2.165723
-0.067500,-0.077500,0.015000,-1.041959,1.054764,-0.511409,1.570338,-1.993671,-1.595640
-0.067500,-0.072500,0.015000,-1.021332,1.529350,1.755147,-1.439040,1.823874,0.611737
-0.067500,-0.067500,0.015000,1.505758,-2.293067,-1.665127,-0.546450,0.942746,1.262975
-0.067500,-0.062500,0.015000,0.292778,-0.440393,-0.314560,1.373502,-2.500913,-2.370087
-0.067500,-0.057500,0.015000,-1.169313,2.544022,2.663950,0.305398,-0.173654,0.828943
-0.067500,-0.052500,0.015000,-0.564301,0.238725,-1.971411,-0.952766,2.500913,2.671936
-0.067500,-0.047500,0.015000,0.689037,-2.357995,-2.642505,-1.015928,0.689503,-3.025561
-0.067500,-0.042500,0.015000,1.564643,-1.510959,3.956770,0.253869,-1.947069,-2.907531
-0.067500,-0.037500,0.015000,0.514418,0.939701,3.864598,2.012176,-2.490636,4.616361
-0.067500,-0.032500,0.015000,-1.988003,2.988427,-4.451851,1.666797,-0.952097,5.851723
-0.067500,-0.027500,0.015000,-2.875060,3.351008,-8.601288,-1.023234,1.888182,-2.245488
-0.067500,-0.022500,0.015000,-1.006494,1.488526,-3.345743,-3.236490,4.397960,-10.044452
-0.067500,-0.017500,0.015000,1.705412,-1.491463,5.725805,-3.153864,5.122834,-10.967038
-0.067500,-0.012500,0.015000,3.345898,-3.871639,12.506070,-1.503188,4.232466,-6.607200
-0.067500,-0.007500,0.015000,3.701401,-4.860278,15.726572,0.251953,2.976563,-1.381504
-0.067500,-0.002500,0.015000,3.540700,-4.602734,17.092440,1.359629,2.332200,1.749035
-0.067500,0.002500,0.015000,3.583849,-3.393778,18.164545,1.682229,2.406602,1.489738
-0.067500,0.007500,0.015000,4.057766,-1.412359,18.649949,1.080825,2.497249,-2.742350
-0.067500,0.012500,0.015000,4.417999,0.715105,15.956337,-0.766075,1.517566,-10.375867
