near field @z=0.006000
freq=27000000000.000000
sampling point=256
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.007500,-0.007500,0.006000,21.808663,-18.594986,26.203784,72.212679,-30.233978,28.512450
-0.007500,-0.006500,0.006000,1.475692,-19.390445,31.690057,97.532528,-34.410253,54.491084
-0.007500,-0.005500,0.006000,-26.988162,-19.892335,31.560649,121.756364,-36.765057,87.003778
-0.007500,-0.004500,0.006000,-61.268084,-20.076674,25.133818,143.816067,-36.539337,123.203523
-0.007500,-0.003500,0.006000,-97.736141,-19.851580,13.335304,163.355876,-33.427656,159.560026
-0.007500,-0.002500,0.006000,-131.807158,-19.031848,-1.340492,180.484423,-27.691164,192.535960
-0.007500,-0.001500,0.006000,-158.567569,-17.400961,-15.300917,195.412806,-20.072499,219.186806
-0.007500,-0.000500,0.006000,-173.655012,-14.816781,-24.650452,208.153539,-11.582637,237.514960
-0.007500,0.000500,0.006000,-174.182445,-11.266747,-26.112193,218.349996,-3.275031,246.513014
-0.007500,0.001500,0.006000,-159.380309,-6.831132,-17.851649,225.205156,3.913148,245.947347
-0.007500,0.002500,0.006000,-130.714263,-1.616626,-0.007454,227.473959,9.242945,236.027113
-0.007500,0.003500,0.006000,-91.493396,4.235338,25.204098,223.558432,12.211704,217.143811
-0.007500,0.004500,0.006000,-46.215694,10.435133,53.851566,211.788579,12.572702,189.834660
-0.007500,0.005500,0.006000,0.073034,16.412864,81.048106,190.907000,10.342080,155.017588
-0.007500,0.006500,0.006000,42.292058,21.304419,101.941620,160.642847,5.802617,114.390050
-0.007500,0.007500,0.006000,75.783325,24.128655,112.709671,122.171367,-0.474193,70.742597
-0.006500,-0.007500,0.006000,4.195640,-7.605200,15.760346,88.093152,-34.123295,25.934437
-0.006500,-0.006500,0.006000,-26.784121,-7.169264,16.672055,113.120728,-39.342908,52.618250
-0.006500,-0.005500,0.006000,-67.854910,-6.731348,10.110750,134.729389,-42.712926,85.790698
-0.006500,-0.004500,0.006000,-116.092394,-6.566770,-4.422072,152.051122,-43.245954,122.343949
-0.006500,-0.003500,0.006000,-167.058499,-6.791697,-25.469628,165.447454,-40.468430,158.598320
-0.006500,-0.002500,0.006000,-215.106883,-7.260753,-49.739960,176.119014,-34.565869,191.083078
-0.006500,-0.001500,0.006000,-254.039194,-7.649258,-72.712265,185.531419,-26.277088,217.178830
-0.006500,-0.000500,0.006000,-278.172988,-7.634126,-89.560417,194.907428,-16.639352,235.416321
-0.006500,0.000500,0.006000,-283.559773,-6.997071,-96.170399,204.872052,-6.741310,245.373502
-0.006500,0.001500,0.006000,-268.864791,-5.570160,-90.044199,215.192505,2.421301,247.265525
-0.006500,0.002500,0.006000,-235.529986,-3.129403,-70.920054,224.574181,9.999528,241.435408
-0.006500,0.003500,0.006000,-187.248073,0.577489,-40.964990,230.623971,15.321712,227.986274
-0.006500,0.004500,0.006000,-129.139885,5.613094,-4.455542,230.174132,17.932733,206.746851
-0.006500,0.005500,0.006000,-67.049283,11.583994,33.014559,220.038211,17.629463,177.636065
-0.006500,0.006500,0.006000,-7.084461,17.550911,65.629508,198.023142,14.485504,141.299286
-0.006500,0.007500,0.006000,44.780691,22.237269,88.486035,163.839225,8.892279,99.700635
-0.005500,-0.007500,0.006000,-14.096436,3.052378,10.614858,100.507137,-32.146306,16.159445
-0.005500,-0.006500,0.006000,-55.957598,5.013723,9.012300,124.063273,-37.950873,41.886956
-0.005500,-0.005500,0.006000,-109.817473,6.829433,-1.730821,141.335469,-42.045239,73.899769
-0.005500,-0.004500,0.006000,-172.134825,7.830148,-22.053212,151.648459,-43.302481,108.861785
-0.005500,-0.003500,0.006000,-237.707800,7.593950,-50.117341,156.166622,-41.140557,142.986657
-0.005500,-0.002500,0.006000,-299.895827,6.149957,-82.041603,157.364513,-35.684799,172.925490
-0.005500,-0.001500,0.006000,-351.272323,3.875799,-112.647888,158.230650,-27.640517,196.457361
-0.005500,-0.000500,0.006000,-384.877904,1.234351,-136.466547,161.532601,-18.006428,212.737666
-0.005500,0.000500,0.006000,-395.747197,-1.378084,-148.767615,169.240829,-7.817910,222.051171
-0.005500,0.001500,0.006000,-382.029714,-3.549118,-146.467070,182.020406,1.975497,225.206714
-0.005500,0.002500,0.006000,-345.167672,-4.689509,-128.805885,198.754568,10.531648,222.844322
-0.005500,0.003500,0.006000,-289.184829,-4.080193,-97.653188,216.308461,17.133736,214.944156
-0.005500,0.004500,0.006000,-219.665690,-1.208855,-57.278964,229.868067,21.235601,200.760719
-0.005500,0.005500,0.006000,-143.009315,3.811876,-13.581817,233.996773,22.504649,179.273317
-0.005500,0.006500,0.006000,-66.097928,10.066419,27.063939,224.165558,20.846767,150.019160
-0.005500,0.007500,0.006000,3.960947,16.074310,59.033176,198.208990,16.448601,113.946180
-0.004500,-0.007500,0.006000,-29.409329,11.071112,12.570088,110.296914,-24.960898,1.600918
-0.004500,-0.006500,0.006000,-81.699422,14.575647,11.280721,132.121800,-30.654928,25.301399
-0.004500,-0.005500,0.006000,-147.845491,17.993562,-0.377302,144.466129,-34.908829,55.001573
