far field @z=0.050000
freq=27000000000.000000
sampling point=256
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.062500,-0.062500,0.050000,3.533791,0.729635,4.698415,0.566769,-1.200992,-1.250931
-0.062500,-0.054167,0.050000,-5.129575,0.383801,-5.341464,0.062871,1.950278,2.372693
-0.062500,-0.045833,0.050000,6.164045,-2.534436,4.853190,-3.756523,-1.093076,-5.577693
-0.062500,-0.037500,0.050000,-1.172107,2.452581,0.730230,9.662302,-2.763013,9.707882
-0.062500,-0.029167,0.050000,-11.506844,3.533793,-12.401060,-4.887771,3.063318,-3.670298
-0.062500,-0.020833,0.050000,4.020346,-1.750602,3.211517,-14.755027,5.176356,-16.472759
-0.062500,-0.012500,0.050000,16.947727,-5.066534,19.261952,-5.597791,2.661161,-7.841597
-0.062500,-0.004167,0.050000,19.577991,-5.086230,24.154307,3.725826,0.983303,2.572998
-0.062500,0.004167,0.050000,20.936883,-3.489098,26.474579,4.187815,1.609089,2.551477
-0.062500,0.012500,0.050000,21.066898,-0.361202,25.071475,-6.373875,2.154036,-10.848131
-0.062500,0.020833,0.050000,6.490209,1.552793,4.848107,-20.916816,-0.660131,-26.018779
-0.062500,0.029167,0.050000,-19.087223,-2.193799,-23.061528,-9.041996,-1.704093,-8.004409
-0.062500,0.037500,0.050000,-3.417673,-0.751383,-1.722778,19.540848,3.671124,21.605213
-0.062500,0.045833,0.050000,16.345462,3.715249,16.096047,-8.100498,-2.009468,-9.587074
-0.062500,0.054167,0.050000,-16.301040,-4.250647,-15.853428,-2.629884,-0.453202,-1.547480
-0.062500,0.062500,0.050000,12.931209,3.635339,12.077757,7.163421,1.779375,5.881804
-0.054167,-0.062500,0.050000,-3.986561,-0.202752,-3.652071,1.854084,1.029035,3.662764
-0.054167,-0.054167,0.050000,5.464266,-0.671831,4.266963,-2.349696,-1.606237,-4.436329
-0.054167,-0.045833,0.050000,-6.161564,2.454861,-3.614276,5.610800,0.983472,6.775754
-0.054167,-0.037500,0.050000,1.252464,-2.820600,-1.286857,-11.422390,2.426503,-10.024502
-0.054167,-0.029167,0.050000,13.053179,-2.703833,12.600317,7.852582,-4.030152,5.299078
-0.054167,-0.020833,0.050000,-9.647650,3.676307,-7.694564,16.635600,-4.464083,16.525917
-0.054167,-0.012500,0.050000,-23.027922,6.106312,-23.146141,-0.554827,-0.365718,1.170334
-0.054167,-0.004167,0.050000,-21.954869,5.326711,-24.275905,-14.217317,1.385128,-12.983949
-0.054167,0.004167,0.050000,-23.487799,3.939683,-26.794207,-15.572230,-0.065106,-14.139703
-0.054167,0.012500,0.050000,-28.840085,0.867827,-30.855287,-1.588850,-1.912657,1.737302
-0.054167,0.020833,0.050000,-15.385431,-1.910807,-13.136688,23.747946,0.613564,26.353597
-0.054167,0.029167,0.050000,21.812183,2.314578,23.172852,15.357406,2.352791,12.934663
-0.054167,0.037500,0.050000,5.359317,1.061829,2.979902,-23.799063,-4.054620,-22.763568
-0.054167,0.045833,0.050000,-18.640167,-3.805931,-15.688818,11.335188,2.376890,11.307783
-0.054167,0.054167,0.050000,19.179519,4.332018,15.915390,-1.272538,-0.373101,-2.157489
-0.054167,0.062500,0.050000,-16.629966,-3.936278,-13.239656,-2.332309,-0.514272,-0.994663
-0.045833,-0.062500,0.050000,1.745627,-0.387964,-0.068162,-5.606164,-0.409754,-5.456040
-0.045833,-0.054167,0.050000,-3.398274,1.186808,-0.647419,6.574782,0.698416,6.489673
-0.045833,-0.045833,0.050000,3.263487,-2.428155,-0.248764,-9.473343,0.018036,-8.054302
-0.045833,-0.037500,0.050000,2.814872,2.314934,4.873919,13.573333,-2.856155,9.313166
-0.045833,-0.029167,0.050000,-17.391166,2.826384,-14.011463,-7.192464,4.100531,-3.036618
-0.045833,-0.020833,0.050000,11.911084,-4.326080,7.570520,-21.390575,4.219176,-18.052755
-0.045833,-0.012500,0.050000,29.972725,-6.366475,25.533650,2.999194,-0.790690,0.398618
-0.045833,-0.004167,0.050000,26.627865,-5.086821,25.230453,22.408718,-2.538130,17.778911
-0.045833,0.004167,0.050000,28.472583,-3.826227,27.840499,24.654284,-0.589040,19.691951
-0.045833,0.012500,0.050000,37.871585,-0.717892,34.424610,5.437147,1.816290,1.209797
-0.045833,0.020833,0.050000,20.255994,2.195602,14.724701,-30.645629,-1.014133,-28.577819
-0.045833,0.029167,0.050000,-29.313032,-2.911941,-25.816512,-16.605913,-2.412090,-11.339172
-0.045833,0.037500,0.050000,0.088381,-0.284295,2.242424,29.869161,4.481348,23.586881
-0.045833,0.045833,0.050000,15.940647,2.927604,10.630220,-20.410341,-3.485773,-16.250001
-0.045833,0.054167,0.050000,-18.692002,-3.638647,-12.549860,11.931754,2.134449,9.515379
-0.045833,0.062500,0.050000,16.570420,3.351406,10.647279,-9.086791,-1.604074,-7.058727
-0.037500,-0.062500,0.050000,5.719456,0.015013,5.003227,5.735674,-0.585208,2.392754
-0.037500,-0.054167,0.050000,-4.775319,-0.778970,-5.245333,-8.541845,0.826359,-4.277023
-0.037500,-0.045833,0.050000,6.181101,1.379225,6.511260,11.077442,-1.701930,5.316708
-0.037500,-0.037500,0.050000,-13.227812,-0.322491,-10.100671,-11.075071,3.545492,-4.052866
-0.037500,-0.029167,0.050000,23.499145,-4.166868,14.019856,-2.627599,-2.806698,-4.809404
-0.037500,-0.020833,0.050000,-4.513830,3.393287,-0.111959,31.163676,-5.174918,20.544489
-0.037500,-0.012500,0.050000,-39.166162,6.516904,-26.472529,6.479098,0.022123,7.074443
-0.037500,-0.004167,0.050000,-41.108006,5.188039,-30.964581,-21.952804,2.049833,-13.152993
-0.037500,0.004167,0.050000,-44.093037,3.504576,-34.069401,-24.696807,0.039652,-15.009756
-0.037500,0.012500,0.050000,-50.432590,-0.156962,-36.343419,5.087994,-1.767150,7.496125
-0.037500,0.020833,0.050000,-12.301971,-1.945555,-5.312133,45.856695,2.088606,33.371631
-0.037500,0.029167,0.050000,42.018937,3.912066,28.752938,3.624527,1.221078,-0.419828
-0.037500,0.037500,0.050000,-19.128041,-1.848313,-14.261870,-30.661238,-4.127521,-18.598957
-0.037500,0.045833,0.050000,0.787303,-0.410214,2.270436,30.322013,4.311558,18.559653
-0.037500,0.054167,0.050000,4.462931,1.173864,1.133877,-24.844391,-3.655262,-14.799099
-0.037500,0.062500,0.050000,-2.336541,-0.871228,0.024617,20.878473,3.150307,11.851337
-0.029167,-0.062500,0.050000,-9.083193,1.392412,-2.614092,6.237301,-0.148071,4.552620
