far field @z=0.050000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.258333,-0.258333,0.050000,-0.497321,0.617885,0.439213,0.057606,-0.140537,-0.376995
-0.258333,-0.241667,0.050000,-0.444173,0.638001,0.601017,0.018934,-0.079156,-0.241808
-0.258333,-0.225000,0.050000,-0.364751,0.614139,0.700862,0.097745,-0.177393,-0.211527
-0.258333,-0.208333,0.050000,-0.204480,0.462440,0.746399,0.231220,-0.415136,-0.376374
-0.258333,-0.191667,0.050000,0.083334,0.031619,0.574297,0.248751,-0.591374,-0.774686
-0.258333,-0.175000,0.050000,0.271438,-0.506165,-0.168354,-0.063210,-0.246239,-1.109864
-0.258333,-0.158333,0.050000,-0.124311,-0.230728,-1.265309,-0.343571,0.508272,-0.359557
-0.258333,-0.141667,0.050000,-0.385828,0.610633,-0.481007,0.301320,-0.010591,1.469800
-0.258333,-0.125000,0.050000,0.595359,-0.541622,1.813513,0.178291,-0.497915,-0.119058
-0.258333,-0.108333,0.050000,-0.480845,0.377083,-1.667783,-0.563457,0.836028,-1.319642
-0.258333,-0.091667,0.050000,0.447825,-0.457114,1.498639,0.701798,-1.024733,1.962520
-0.258333,-0.075000,0.050000,-0.697859,1.003646,-2.253445,-0.548334,0.848136,-1.721575
-0.258333,-0.058333,0.050000,0.889386,-1.413076,3.173676,-0.159994,0.359007,-0.500156
-0.258333,-0.041667,0.050000,-0.014610,-0.253669,-0.144208,0.887155,-1.502962,3.580606
-0.258333,-0.025000,0.050000,-0.803162,1.184257,-3.694886,0.285799,-0.909183,1.335629
-0.258333,-0.008333,0.050000,-0.781734,1.340145,-4.107821,-0.241090,-0.223995,-1.009160
-0.258333,0.008333,0.050000,-0.753445,1.083582,-4.355152,-0.273991,-0.329134,-1.006605
-0.258333,0.025000,0.050000,-0.796349,0.397033,-4.293948,0.171299,-0.744256,1.748690
-0.258333,0.041667,0.050000,-0.153818,-0.478535,0.101889,0.845344,-0.269248,4.721327
-0.258333,0.058333,0.050000,0.931556,0.177478,4.599663,-0.033002,0.346123,-1.092998
-0.258333,0.075000,0.050000,-0.757797,-0.224781,-3.922720,-0.692371,-0.463482,-2.511513
-0.258333,0.091667,0.050000,0.638580,0.373719,3.014651,0.936405,0.656537,3.371709
-0.258333,0.108333,0.050000,-0.952271,-0.768402,-3.552200,-0.799100,-0.607260,-2.486571
-0.258333,0.125000,0.050000,1.344606,1.144933,4.094474,-0.061230,-0.135790,-0.373687
-0.258333,0.141667,0.050000,-0.487730,-0.324933,-1.284838,1.348617,1.227309,3.643137
-0.258333,0.158333,0.050000,-1.416970,-1.292520,-3.368661,-0.498655,-0.325499,-1.278091
-0.258333,0.175000,0.050000,-0.060944,-0.173765,0.038940,-1.546493,-1.339635,-3.341018
-0.258333,0.191667,0.050000,1.143101,0.889053,2.393305,-1.077290,-0.993456,-1.947469
-0.258333,0.208333,0.050000,1.538203,1.235341,2.820328,-0.329648,-0.369365,-0.344124
-0.258333,0.225000,0.050000,1.555780,1.227619,2.581213,0.079098,-0.027839,0.398584
-0.258333,0.241667,0.050000,1.525831,1.155767,2.365997,0.084089,-0.014389,0.397158
-0.258333,0.258333,0.050000,1.464877,1.048483,2.200034,-0.259343,-0.253131,-0.129127
-0.241667,-0.258333,0.050000,-0.553678,0.645890,0.460732,-0.125100,0.057061,-0.330212
-0.241667,-0.241667,0.050000,-0.446235,0.615344,0.629749,-0.260269,0.265684,-0.047676
-0.241667,-0.225000,0.050000,-0.380186,0.603212,0.689595,-0.240882,0.314033,0.170509
-0.241667,-0.208333,0.050000,-0.358418,0.649713,0.770694,-0.099807,0.181165,0.243001
-0.241667,-0.191667,0.050000,-0.268405,0.631057,0.927567,0.130865,-0.166584,0.077479
-0.241667,-0.175000,0.050000,0.035961,0.246638,0.973818,0.269757,-0.569118,-0.479376
-0.241667,-0.158333,0.050000,0.332167,-0.476443,0.276379,-0.051231,-0.358837,-1.248851
-0.241667,-0.141667,0.050000,-0.153768,-0.254010,-1.331713,-0.442041,0.563284,-0.728592
-0.241667,-0.125000,0.050000,-0.445703,0.702903,-0.624281,0.437371,-0.154580,1.694921
-0.241667,-0.108333,0.050000,0.775484,-0.849694,2.070452,-0.012879,-0.300487,-0.557726
-0.241667,-0.091667,0.050000,-0.859707,0.992360,-2.483772,-0.266895,0.537116,-0.469079
-0.241667,-0.075000,0.050000,0.975754,-1.330716,2.932564,0.124167,-0.258125,0.284746
-0.241667,-0.058333,0.050000,-0.853963,1.240656,-2.859359,0.557882,-0.906633,1.810049
-0.241667,-0.041667,0.050000,-0.275153,0.705940,-0.957089,-0.976615,1.470375,-3.697591
-0.241667,-0.025000,0.050000,0.835001,-1.043826,3.576256,-0.519861,1.226108,-2.254183
-0.241667,-0.008333,0.050000,0.942958,-1.378516,4.572918,0.116657,0.493680,0.294842
-0.241667,0.008333,0.050000,0.922968,-1.068303,4.855759,0.159840,0.559389,0.241033
-0.241667,0.025000,0.050000,0.869206,-0.209873,4.152378,-0.400797,0.847854,-2.871784
-0.241667,0.041667,0.050000,-0.124549,0.542423,-1.608924,-1.006609,0.064631,-4.876384
-0.241667,0.058333,0.050000,-0.989727,-0.380411,-4.094881,0.486690,-0.190560,3.075522
-0.241667,0.075000,0.050000,1.196141,0.568980,5.015941,0.205574,0.261959,0.069638
-0.241667,0.091667,0.050000,-1.299948,-0.871373,-4.803837,-0.303095,-0.230865,-0.553092
-0.241667,0.108333,0.050000,1.412802,1.087562,4.380344,-0.342590,-0.326688,-1.394601
-0.241667,0.125000,0.050000,-0.580009,-0.380405,-1.489630,1.447183,1.246192,4.054677
-0.241667,0.141667,0.050000,-1.396180,-1.256336,-3.403308,-0.865057,-0.623064,-2.141586
-0.241667,0.158333,0.050000,0.534559,0.322744,1.299305,-1.612990,-1.405432,-3.481339
-0.241667,0.175000,0.050000,1.657692,1.332993,3.328923,-0.489884,-0.528520,-0.764261
-0.241667,0.191667,0.050000,1.634797,1.346580,2.859022,0.572623,0.347691,1.268916
-0.241667,0.208333,0.050000,1.360824,1.110527,2.094649,1.041620,0.720627,1.944852
-0.241667,0.225000,0.050000,1.292969,1.011646,1.826142,1.068845,0.721824,1.863882
-0.241667,0.241667,0.050000,1.447274,1.058463,1.983941,0.745996,0.461837,1.318584
-0.241667,0.258333,0.050000,1.569018,1.065065,2.153383,0.051687,-0.026873,0.316245
-0.225000,-0.258333,0.050000,-0.602520,0.642077,0.396944,-0.202584,0.109717,-0.394115
-0.225000,-0.241667,0.050000,-0.385123,0.519666,0.620592,-0.450405,0.447720,-0.007813
-0.225000,-0.225000,0.050000,-0.215404,0.373351,0.595980,-0.485503,0.604867,0.356261
