near field @z=0.015000
freq=27000000000.000000
sampling point=256
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.007500,-0.007500,0.015000,-147.961687,19.063085,-46.669611,-14.614094,8.486986,18.928832
-0.007500,-0.006500,0.015000,-158.958261,18.053545,-58.863108,-51.188830,11.514633,7.204117
-0.007500,-0.005500,0.015000,-163.291426,16.373322,-68.536151,-88.293098,13.537368,-6.902389
-0.007500,-0.004500,0.015000,-162.295319,14.322786,-75.509252,-123.509174,14.388316,-22.025823
-0.007500,-0.003500,0.015000,-157.912248,12.167370,-80.059704,-154.897019,14.050958,-36.809038
-0.007500,-0.002500,0.015000,-152.353246,10.091268,-82.794879,-181.042140,12.639798,-50.045967
-0.007500,-0.001500,0.015000,-147.758234,8.176412,-84.481421,-200.990238,10.368556,-60.764632
-0.007500,-0.000500,0.015000,-145.896236,6.407944,-85.866317,-214.114032,7.514538,-68.253092
-0.007500,0.000500,0.015000,-147.930918,4.701557,-87.520680,-219.968337,4.385513,-72.045278
-0.007500,0.001500,0.015000,-154.264204,2.944136,-89.727655,-218.186254,1.292169,-71.890093
-0.007500,0.002500,0.015000,-164.463667,1.037537,-92.425604,-208.454033,-1.473809,-67.725916
-0.007500,0.003500,0.015000,-177.277260,-1.063952,-95.209015,-190.578896,-3.657850,-59.675107
-0.007500,0.004500,0.015000,-190.739112,-3.329489,-97.383600,-164.638015,-5.058964,-48.062071
-0.007500,0.005500,0.015000,-202.368579,-5.644641,-98.068252,-131.173249,-5.545805,-33.446972
-0.007500,0.006500,0.015000,-209.458332,-7.822004,-96.333646,-91.379684,-5.071812,-16.658074
-0.007500,0.007500,0.015000,-209.434889,-9.627300,-91.363789,-47.229576,-3.687172,1.198940
-0.006500,-0.007500,0.015000,-155.476711,16.109791,-43.444212,-39.334310,12.182000,13.990583
-0.006500,-0.006500,0.015000,-161.102104,14.305281,-53.656344,-81.018486,15.174350,1.443390
-0.006500,-0.005500,0.015000,-159.174393,11.980756,-61.042032,-122.201530,16.996828,-13.254805
-0.006500,-0.004500,0.015000,-151.556401,9.511158,-65.555206,-160.415218,17.528118,-28.737690
-0.006500,-0.003500,0.015000,-140.723797,7.209703,-67.623201,-193.834693,16.803757,-43.698600
-0.006500,-0.002500,0.015000,-129.376411,5.277665,-68.005554,-221.282610,14.984353,-57.024882
-0.006500,-0.001500,0.015000,-120.067000,3.783668,-67.612395,-242.102303,12.314086,-67.863599
-0.006500,-0.000500,0.015000,-114.887222,2.672664,-67.319278,-255.956925,9.080102,-75.624980
-0.006500,0.000500,0.015000,-115.231010,1.798744,-67.808505,-262.622008,5.579950,-79.944383
-0.006500,0.001500,0.015000,-121.640839,0.972167,-69.456337,-261.833860,2.099675,-80.629910
-0.006500,0.002500,0.015000,-133.735700,0.009759,-72.274682,-253.238072,-1.098876,-77.621075
-0.006500,0.003500,0.015000,-150.220242,-1.220932,-75.907586,-236.455922,-3.785451,-70.975520
-0.006500,0.004500,0.015000,-168.978789,-2.770664,-79.678115,-211.257223,-5.767998,-60.888845
-0.006500,0.005500,0.015000,-187.260654,-4.594326,-82.679141,-177.801590,-6.901758,-47.740068
-0.006500,0.006500,0.015000,-201.959872,-6.554218,-83.900429,-136.890739,-7.101861,-32.145097
-0.006500,0.007500,0.015000,-209.981132,-8.439231,-82.382168,-90.165394,-6.357887,-14.994665
-0.005500,-0.007500,0.015000,-160.383692,12.725332,-38.496466,-61.958773,14.593042,11.741931
-0.005500,-0.006500,0.015000,-160.472189,10.165236,-46.964640,-107.840237,17.381671,-0.675193
-0.005500,-0.005500,0.015000,-152.230720,7.248494,-52.437808,-152.120639,18.872994,-15.018276
-0.005500,-0.004500,0.015000,-138.031306,4.414439,-54.955382,-192.330373,19.006760,-29.960166
-0.005500,-0.003500,0.015000,-120.845808,2.014344,-55.033382,-226.808427,17.881876,-44.275051
-0.005500,-0.002500,0.015000,-103.813030,0.259812,-53.516117,-254.660274,15.711110,-56.964280
-0.005500,-0.001500,0.015000,-89.843196,-0.795695,-51.391493,-275.568730,12.769353,-67.307499
-0.005500,-0.000500,0.015000,-81.297993,-1.243517,-49.606876,-289.525980,9.347938,-74.847741
-0.005500,0.000500,0.015000,-79.760292,-1.281937,-48.914209,-296.564746,5.722874,-79.333716
-0.005500,0.001500,0.015000,-85.890725,-1.164458,-49.761362,-296.559487,2.139120,-80.649023
-0.005500,0.002500,0.015000,-99.362028,-1.145425,-52.235514,-289.147645,-1.191985,-78.755880
-0.005500,0.003500,0.015000,-118.865524,-1.432330,-56.056539,-273.791653,-4.088140,-73.672298
-0.005500,0.004500,0.015000,-142.192745,-2.151037,-60.614804,-249.970626,-6.391058,-65.489258
-0.005500,0.005500,0.015000,-166.402433,-3.326819,-65.047530,-217.461840,-7.966315,-54.421586
-0.005500,0.006500,0.015000,-188.083479,-4.881457,-68.348521,-176.650556,-8.710700,-40.875474
-0.005500,0.007500,0.015000,-203.714669,-6.645106,-69.505394,-128.795477,-8.566526,-25.508758
-0.004500,-0.007500,0.015000,-163.974052,9.376932,-32.331483,-81.410513,15.872318,12.048336
-0.004500,-0.006500,0.015000,-158.818108,6.141724,-39.467679,-130.650066,18.322823,0.617392
-0.004500,-0.005500,0.015000,-144.666881,2.715190,-43.588079,-177.189615,19.382908,-12.553567
-0.004500,-0.004500,0.015000,-124.359883,-0.412825,-44.762128,-218.587311,19.064130,-26.208719
-0.004500,-0.003500,0.015000,-101.310595,-2.865476,-43.527155,-253.367223,17.535829,-39.220506
-0.004500,-0.002500,0.015000,-79.034806,-4.429230,-40.740594,-280.931864,15.066185,-50.708644
-0.004500,-0.001500,0.015000,-60.737043,-5.068152,-37.399601,-301.313851,11.960421,-60.081227
-0.004500,-0.000500,0.015000,-48.991245,-4.905317,-34.464392,-314.845200,8.510315,-67.007481
-0.004500,0.000500,0.015000,-45.523321,-4.180301,-32.712311,-321.831563,4.963392,-71.346535
-0.004500,0.001500,0.015000,-51.084048,-3.194389,-32.637154,-322.309424,1.513411,-73.062984
-0.004500,0.002500,0.015000,-65.394825,-2.254831,-34.396814,-315.940799,-1.692134,-72.157975
-0.004500,0.003500,0.015000,-87.154974,-1.626788,-37.804859,-302.068388,-4.535340,-68.635954
-0.004500,0.004500,0.015000,-114.112104,-1.498016,-42.359169,-279.920413,-6.910687,-62.515160
