near field @z=0.015000
freq=27000000000.000000
sampling point=1024
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.007500,-0.007500,0.015000,-147.961687,19.063085,-46.669611,-14.614094,8.486986,18.928832
-0.007500,-0.007016,0.015000,-154.166111,18.676971,-52.852935,-32.078061,10.060834,13.634350
-0.007500,-0.006532,0.015000,-158.712526,18.098188,-58.506768,-49.986674,11.431335,7.626566
-0.007500,-0.006048,0.015000,-161.678248,17.359676,-63.566060,-68.034469,12.566149,1.048491
-0.007500,-0.005565,0.015000,-163.190819,16.496057,-67.994204,-85.932593,13.441244,-5.946662
-0.007500,-0.005081,0.015000,-163.420878,15.541802,-71.782395,-103.414782,14.041122,-13.200864
-0.007500,-0.004597,0.015000,-162.573935,14.529544,-74.947753,-120.241522,14.358720,-20.556231
-0.007500,-0.004113,0.015000,-160.881409,13.488626,-77.530411,-136.202391,14.395008,-27.859373
-0.007500,-0.003629,0.015000,-158.591318,12.443949,-79.589739,-151.116670,14.158378,-34.965000
-0.007500,-0.003145,0.015000,-155.958923,11.415144,-81.199961,-164.832390,13.663840,-41.738714
-0.007500,-0.002661,0.015000,-153.237641,10.416107,-82.445390,-177.224075,12.932124,-48.058977
-0.007500,-0.002177,0.015000,-150.670445,9.454894,-83.415508,-188.189501,11.988709,-53.818286
-0.007500,-0.001694,0.015000,-148.481963,8.533950,-84.200118,-197.645823,10.862860,-58.923658
-0.007500,-0.001210,0.015000,-146.871403,7.650644,-84.884752,-205.525422,9.586684,-63.296529
-0.007500,-0.000726,0.015000,-146.006412,6.798069,-85.546501,-211.771871,8.194245,-66.872227
-0.007500,-0.000242,0.015000,-146.017937,5.966032,-86.250393,-216.336326,6.720762,-69.599164
-0.007500,0.000242,0.015000,-146.996131,5.142184,-87.046422,-219.174674,5.201884,-71.437923
-0.007500,0.000726,0.015000,-148.987319,4.313220,-87.967286,-220.245642,3.673042,-72.360356
-0.007500,0.001210,0.015000,-151.992063,3.466084,-89.026868,-219.510077,2.168881,-72.348849
-0.007500,0.001694,0.015000,-155.964329,2.589108,-90.219481,-216.931455,0.722741,-71.395827
-0.007500,0.002177,0.015000,-160.811784,1.673048,-91.519863,-212.477652,-0.633810,-69.503571
-0.007500,0.002661,0.015000,-166.397247,0.711964,-92.883888,-206.123896,-1.871426,-66.684372
-0.007500,0.003145,0.015000,-172.541327,-0.296104,-94.249972,-197.856750,-2.963416,-62.961000
-0.007500,0.003629,0.015000,-179.026256,-1.348665,-95.541123,-187.678908,-3.886166,-58.367461
-0.007500,0.004113,0.015000,-185.600940,-2.438540,-96.667573,-175.614522,-4.619573,-52.949932
-0.007500,0.004597,0.015000,-191.987216,-3.553868,-97.529946,-161.714723,-5.147470,-46.767795
-0.007500,0.005081,0.015000,-197.887257,-4.678332,-98.022880,-146.062990,-5.458037,-39.894625
-0.007500,0.005565,0.015000,-202.992061,-5.791611,-98.039033,-128.779972,-5.544204,-32.418995
-0.007500,0.006048,0.015000,-206.990881,-6.870028,-97.473366,-110.027392,-5.403993,-24.444954
-0.007500,0.006532,0.015000,-209.581406,-7.887376,-96.227620,-90.010685,-5.040813,-16.092045
-0.007500,0.007016,0.015000,-210.480459,-8.815884,-94.214834,-68.980039,-4.463654,-7.494719
-0.007500,0.007500,0.015000,-209.434889,-9.627300,-91.363789,-47.229576,-3.687172,1.198940
-0.007016,-0.007500,0.015000,-152.002458,17.721873,-45.365854,-26.756732,10.437285,16.208455
-0.007016,-0.007016,0.015000,-157.044317,17.142712,-51.102430,-45.527785,12.025316,10.649493
-0.007016,-0.006532,0.015000,-160.295113,16.382137,-56.263829,-64.640259,13.388406,4.400218
-0.007016,-0.006048,0.015000,-161.858846,15.478155,-60.791487,-83.777401,14.495741,-2.393338
-0.007016,-0.005565,0.015000,-161.891711,14.469983,-64.656299,-102.643954,15.325352,-9.576350
-0.007016,-0.005081,0.015000,-160.594120,13.396080,-67.857752,-120.972045,15.864193,-16.990658
-0.007016,-0.004597,0.015000,-158.201663,12.292355,-70.421827,-138.525071,16.107873,-24.479716
-0.007016,-0.004113,0.015000,-154.975437,11.190635,-72.397853,-155.099583,16.060101,-31.892872
-0.007016,-0.003629,0.015000,-151.192105,10.117466,-73.854527,-170.525272,15.731907,-39.088832
-0.007016,-0.003145,0.015000,-147.134034,9.093267,-74.875344,-184.663285,15.140703,-45.938258
-0.007016,-0.002661,0.015000,-143.079807,8.131868,-75.553670,-197.403144,14.309259,-52.325483
-0.007016,-0.002177,0.015000,-139.295345,7.240441,-75.987699,-208.658631,13.264653,-58.149410
