near field @z=1.000000
sampling point=16
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-5.000000,-5.000000,1.000000,-0.025977,0.032013,0.027534,-0.005377,0.002328,-0.014765
-5.000000,-4.333333,1.000000,0.019350,-0.031921,-0.038705,-0.001113,0.003330,0.007650
-5.000000,-3.666667,1.000000,0.009483,-0.027614,-0.050678,-0.008513,0.009155,-0.010841
-5.000000,-3.000000,1.000000,-0.019631,0.015633,-0.052964,-0.003578,0.022838,0.046704
-5.000000,-2.333333,1.000000,-0.000727,0.016764,0.031182,0.034827,-0.035952,0.092588
-5.000000,-1.666667,1.000000,0.034450,-0.039673,0.105978,0.030666,-0.047100,0.080246
-5.000000,-1.000000,1.000000,-0.004793,0.004232,-0.023382,0.048850,-0.077654,0.171087
-5.000000,-0.333333,1.000000,0.044574,-0.075189,0.203153,0.009714,0.003307,0.052254
-5.000000,0.333333,1.000000,0.041554,-0.049014,0.229814,0.011521,0.016346,0.052991
-5.000000,1.000000,1.000000,-0.008128,-0.021692,-0.017848,0.046673,-0.006124,0.244579
-5.000000,1.666667,1.000000,0.045591,0.020359,0.198310,0.035398,0.028147,0.130783
-5.000000,2.333333,1.000000,0.021726,0.016736,0.072065,0.066225,0.055084,0.204896
-5.000000,3.000000,1.000000,-0.062582,-0.053129,-0.154661,0.048031,0.043777,0.111084
-5.000000,3.666667,1.000000,-0.076409,-0.065315,-0.144438,-0.032797,-0.024420,-0.074584
-5.000000,4.333333,1.000000,-0.081499,-0.063901,-0.132068,-0.013978,-0.007815,-0.036038
-5.000000,5.000000,1.000000,0.078758,0.056370,0.113199,0.004741,0.000893,0.019333
-4.333333,-5.000000,1.000000,0.029633,-0.030903,-0.023779,0.017528,-0.011466,0.019092
-4.333333,-4.333333,1.000000,-0.028291,0.034770,0.025692,0.002455,-0.009210,-0.027976
-4.333333,-3.666667,1.000000,-0.017753,0.035053,0.048410,-0.003265,0.006087,0.008486
-4.333333,-3.000000,1.000000,-0.002711,0.026691,0.065275,0.015168,-0.017213,0.016410
-4.333333,-2.333333,1.000000,0.034601,-0.030843,0.080224,-0.002378,-0.020545,-0.054308
-4.333333,-1.666667,1.000000,-0.053732,0.056848,-0.140216,-0.010579,0.026186,-0.006911
-4.333333,-1.000000,1.000000,-0.012508,0.017717,-0.034139,-0.062842,0.086183,-0.191253
-4.333333,-0.333333,1.000000,-0.051353,0.083262,-0.198790,-0.035209,0.030666,-0.146633
-4.333333,0.333333,1.000000,-0.048055,0.057590,-0.232565,-0.036565,0.001585,-0.161520
-4.333333,1.000000,1.000000,-0.010472,0.021955,-0.070267,-0.066914,-0.010399,-0.283707
-4.333333,1.666667,1.000000,-0.081958,-0.050056,-0.275283,-0.004502,-0.010403,-0.000207
-4.333333,2.333333,1.000000,0.081584,0.063490,0.206770,-0.049824,-0.039891,-0.125477
-4.333333,3.000000,1.000000,0.093427,0.075433,0.180681,0.042251,0.030047,0.092922
-4.333333,3.666667,1.000000,0.087093,0.066560,0.134861,0.053134,0.036162,0.098114
-4.333333,4.333333,1.000000,0.093491,0.062723,0.134575,-0.022752,-0.018369,-0.019355
-4.333333,5.000000,1.000000,-0.087185,-0.054071,-0.108607,-0.010663,-0.004482,-0.024072
