antenna name=dipole
antenna size=5.555555555556e-03
measurement surface=plane
freq=27000000000.000000
sampling point=256
sampling space=5.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-2.500000000000e-01,-2.500000000000e-01,1.000000000000e-01,-3.052597097109e-01,-3.053919433336e-01,-1.517820639644e+00,-1.362161303853e-01,-1.361742591660e-01,-7.004801521103e-01
-2.500000000000e-01,-2.166666666667e-01,1.000000000000e-01,-3.928765845390e-01,-3.406206855423e-01,-1.715354684501e+00,-7.868448393714e-02,-6.811365351515e-02,-3.678880847618e-01
-2.500000000000e-01,-1.833333333333e-01,1.000000000000e-01,-2.031456611715e-01,-1.489185519693e-01,-8.052467536380e-01,4.318608880893e-01,3.168511191452e-01,1.648920219244e+00
-2.500000000000e-01,-1.500000000000e-01,1.000000000000e-01,4.509526658980e-01,2.705923500565e-01,1.551024354445e+00,-3.350857153425e-01,-2.012251985244e-01,-1.115353343466e+00
-2.500000000000e-01,-1.166666666667e-01,1.000000000000e-01,8.655354536475e-02,4.054598531135e-02,2.309950036708e-01,6.434372061455e-01,3.003754823143e-01,1.963208473117e+00
-2.500000000000e-01,-8.333333333333e-02,1.000000000000e-01,-1.018535877654e-01,-3.382086596201e-02,-3.180111389639e-01,7.237109843590e-01,2.413836948937e-01,2.005221401995e+00
-2.500000000000e-01,-5.000000000000e-02,1.000000000000e-01,7.943687624816e-01,1.589940996216e-01,2.066916178945e+00,-3.767827570034e-02,-7.698997709126e-03,-6.050754963188e-02
-2.500000000000e-01,-1.666666666667e-02,1.000000000000e-01,-5.320264216981e-01,-3.542533500024e-02,-1.365472280436e+00,6.385127200036e-01,4.276845992882e-02,1.578436405628e+00
-2.500000000000e-01,1.666666666667e-02,1.000000000000e-01,-5.320227070856e-01,3.551317332665e-02,-1.365483345889e+00,6.385327859881e-01,-4.237027899212e-02,1.578412735815e+00
-2.500000000000e-01,5.000000000000e-02,1.000000000000e-01,7.944041508685e-01,-1.587691872838e-01,2.066887444329e+00,-3.772447732824e-02,7.382132378640e-03,-6.043757031493e-02
-2.500000000000e-01,8.333333333333e-02,1.000000000000e-01,-1.017958771433e-01,3.406390542316e-02,-3.181101158845e-01,7.237774880837e-01,-2.411257262167e-01,2.005157497322e+00
-2.500000000000e-01,1.166666666667e-01,1.000000000000e-01,8.664221695657e-02,-4.028121241071e-02,2.308514001696e-01,6.434983601169e-01,-3.002108761726e-01,1.963164895615e+00
-2.500000000000e-01,1.500000000000e-01,1.000000000000e-01,4.509672217222e-01,-2.705742342988e-01,1.551061452524e+00,-3.352023861412e-01,2.009589405108e-01,-1.115185314530e+00
-2.500000000000e-01,1.833333333333e-01,1.000000000000e-01,-2.031058400223e-01,1.490071070674e-01,-8.053683740507e-01,4.319736996855e-01,-3.166450791969e-01,1.648780748575e+00
-2.500000000000e-01,2.166666666667e-01,1.000000000000e-01,-3.929756953910e-01,3.404700222510e-01,-1.715246419326e+00,-7.862355493698e-02,6.822343767406e-02,-3.680453271299e-01
-2.500000000000e-01,2.500000000000e-01,1.000000000000e-01,-3.053647190182e-01,3.052493352216e-01,-1.517681089803e+00,-1.361838135512e-01,1.362329177821e-01,-7.006114644116e-01
-2.166666666667e-01,-2.500000000000e-01,1.000000000000e-01,-3.404845952134e-01,-3.929959265104e-01,-1.715353787786e+00,-6.819698031836e-02,-7.860952391874e-02,-3.678741361772e-01
-2.166666666667e-01,-2.166666666667e-01,1.000000000000e-01,-2.944987675183e-01,-2.946652160301e-01,-1.256478988961e+00,-3.088248580314e-01,-3.088296188421e-01,-1.357142223507e+00
-2.166666666667e-01,-1.833333333333e-01,1.000000000000e-01,-4.912192162613e-01,-4.158103929408e-01,-1.815731493769e+00,-1.780540772137e-01,-1.505790710276e-01,-6.913002727373e-01
