#data
R,THETA,PHI,abs|E|
100,0,0,2.59796e+06
100,5,0,2.65097e+06
100,10,0,2.87613e+06
100,15,0,3.23736e+06
100,20,0,3.68619e+06
100,25,0,4.17704e+06
100,30,0,4.67184e+06
100,35,0,5.14039e+06
100,40,0,5.56042e+06
100,45,0,5.9177e+06
100,50,0,6.20599e+06
100,55,0,6.42618e+06
100,60,0,6.58479e+06
100,65,0,6.69194e+06
100,70,0,6.75931e+06
100,75,0,6.79831e+06
100,80,0,6.81873e+06
100,85,0,6.82796e+06
100,90,0,6.83053e+06
100,95,0,0
100,100,0,0
100,105,0,0
100,110,0,0
100,115,0,0
100,120,0,0
100,125,0,0
100,130,0,0
100,135,0,0
100,140,0,0
100,145,0,0
100,150,0,0
100,155,0,0
100,160,0,0
100,165,0,0
100,170,0,0
100,175,0,0
100,180,0,0
100,0,10,2.59796
100,5,10,2.66295
100,10,10,2.89215
100,15,10,3.24978
100,20,10,3.68802
100,25,10,4.1613
100,30,10,4.63159
100,35,10,5.06975
100,40,10,5.45601
100,45,10,5.77992
100,50,10,6.0395
100,55,10,6.23937
100,60,10,6.38824
100,65,10,6.49632
100,70,10,6.57314
100,75,10,6.62638
100,80,10,6.66134
100,85,10,6.68125
100,90,10,6.68773
100,95,10,0
100,100,10,0
100,105,10,0
100,110,10,0
100,115,10,0
100,120,10,0
100,125,10,0
100,130,10,0
100,135,10,0
100,140,10,0
100,145,10,0
100,150,10,0
100,155,10,0
100,160,10,0
100,165,10,0
100,170,10,0
100,175,10,0
100,180,10,0
100,0,100,2.59796
100,5,100,2.69227
100,10,100,2.79007
100,15,100,2.8878
100,20,100,2.98294
100,25,100,3.0735
100,30,100,3.15778
100,35,100,3.23459
100,40,100,3.30348
100,45,100,3.36488
100,50,100,3.41988
100,55,100,3.46983
100,60,100,3.51581
100,65,100,3.55818
100,70,100,3.59641
100,75,100,3.62913
100,80,100,3.65449
100,85,100,3.67063
100,90,100,3.67617
100,95,100,0
100,100,100,0
100,105,100,0
100,110,100,0
100,115,100,0
100,120,100,0
100,125,100,0
100,130,100,0
100,135,100,0
100,140,100,0
100,145,100,0
100,150,100,0
100,155,100,0
100,160,100,0
100,165,100,0
100,170,100,0
100,175,100,0
100,180,100,0
100,0,105,2.59796
100,5,105,2.69699
100,10,105,2.80469
100,15,105,2.91544
100,20,105,3.02445
100,25,105,3.12756
100,30,105,3.22133
100,35,105,3.30338
