antenna name=patcharray
antenna size=1.500000000000e-02
measurement surface=plane
freq=27000000000.000000
sampling point=256
sampling space=5.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-3.750000000000e-02,-3.750000000000e-02,1.500000000000e-02,-1.376465361708e+00,2.965540799869e+00,2.978842128007e+00,-1.879486292200e-01,2.771550590756e+00,3.241286163615e+00
-3.750000000000e-02,-3.250000000000e-02,1.500000000000e-02,-8.500721778681e-01,-2.730951192977e+00,-5.489302876926e+00,-2.333355255214e+00,3.496933531741e+00,8.076208422471e-01
-3.750000000000e-02,-2.750000000000e-02,1.500000000000e-02,3.615350042962e+00,-4.627255858974e+00,2.008554516757e+00,-2.393628974132e+00,-1.575206797046e+00,-7.510044686672e+00
-3.750000000000e-02,-2.250000000000e-02,1.500000000000e-02,4.948668178276e+00,-1.543791265280e+00,1.068616022924e+01,4.360714845535e+00,-5.506491618621e+00,4.331108310333e+00
-3.750000000000e-02,-1.750000000000e-02,1.500000000000e-02,-2.855440704527e+00,3.361994570807e+00,-3.095636156206e+00,8.511975953071e+00,-6.426136977321e+00,1.665818897224e+01
-3.750000000000e-02,-1.250000000000e-02,1.500000000000e-02,-1.084327007068e+01,8.052862508995e+00,-2.216536644659e+01,2.937756856403e+00,-4.422958353596e+00,8.280544166540e+00
-3.750000000000e-02,-7.500000000000e-03,1.500000000000e-02,-1.184446508845e+01,1.034237786062e+01,-2.918120402326e+01,-6.080726641607e+00,-1.240848146324e+00,-9.702729502016e+00
-3.750000000000e-02,-2.500000000000e-03,1.500000000000e-02,-9.544842057039e+00,9.692726504943e+00,-2.952664895244e+01,-1.195062073848e+01,-1.221077554262e-01,-2.200594475431e+01
-3.750000000000e-02,2.500000000000e-03,1.500000000000e-02,-1.011949556085e+01,6.419031474156e+00,-3.342576196414e+01,-1.365565840900e+01,-1.895790587076e+00,-2.291714886479e+01
-3.750000000000e-02,7.500000000000e-03,1.500000000000e-02,-1.531549887104e+01,5.669705986647e-01,-4.024025161510e+01,-9.522254762070e+00,-2.961667834975e+00,-8.729049312142e+00
-3.750000000000e-02,1.250000000000e-02,1.500000000000e-02,-1.789487425254e+01,-3.767814060487e+00,-3.426136824219e+01,3.784948265439e+00,1.421591622512e+00,1.872686232742e+01
