antenna name=dipole
antenna size=5.555555555556e-03
measurement surface=plane
freq=27000000000.000000
sampling point=1024
sampling space=5.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
1.500000000000e-02,-7.750000000000e-02,-7.750000000000e-02,-1.852465234594e-01,9.575062225302e-01,-8.096639327372e-01,-4.772526919417e-01,2.465324013438e+00,-2.622975446731e+00
1.500000000000e-02,-7.750000000000e-02,-7.250000000000e-02,5.311422378732e-01,-2.743923415139e+00,3.036065568310e+00,2.495929167347e-03,-1.233918121146e-02,2.246049008673e-01
1.500000000000e-02,-7.750000000000e-02,-6.750000000000e-02,-1.661572450285e-01,8.578459515205e-01,-1.237591802900e+00,5.226272513804e-01,-2.700101969103e+00,3.140950001149e+00
1.500000000000e-02,-7.750000000000e-02,-6.250000000000e-02,-4.849632656453e-01,2.505641615301e+00,-3.092017462358e+00,-2.854790895067e-01,1.474318936227e+00,-2.106353523094e+00
1.500000000000e-02,-7.750000000000e-02,-5.750000000000e-02,3.556937003702e-01,-1.837094035385e+00,2.774224856748e+00,-4.492545551333e-01,2.321227767187e+00,-3.073907513304e+00
1.500000000000e-02,-7.750000000000e-02,-5.250000000000e-02,4.372577776472e-01,-2.259260262404e+00,3.264938828455e+00,3.777457981829e-01,-1.951030619024e+00,3.201931460464e+00
1.500000000000e-02,-7.750000000000e-02,-4.750000000000e-02,-3.491582630893e-01,1.803325896059e+00,-3.295767704193e+00,4.576495267766e-01,-2.364561220979e+00,3.806483206397e+00
1.500000000000e-02,-7.750000000000e-02,-4.250000000000e-02,-5.014234045414e-01,2.590592472868e+00,-4.738574329751e+00,-2.598627676742e-01,1.341980306360e+00,-2.833123998449e+00
1.500000000000e-02,-7.750000000000e-02,-3.750000000000e-02,9.849554149772e-02,-5.083301771331e-01,1.442450757288e+00,-5.345287375642e-01,2.761435845722e+00,-5.846354731243e+00
1.500000000000e-02,-7.750000000000e-02,-3.250000000000e-02,4.950881852071e-01,-2.557449368331e+00,6.410950342087e+00,-1.241300371906e-01,6.416892488908e-01,-1.212472303215e+00
1.500000000000e-02,-7.750000000000e-02,-2.750000000000e-02,3.378555115163e-01,-1.745567399237e+00,4.816830851959e+00,3.184169969824e-01,-1.644565044094e+00,5.097703181220e+00
1.500000000000e-02,-7.750000000000e-02,-2.250000000000e-02,-1.451166280710e-02,7.460458893121e-02,-6.945891716002e-01,4.042637585213e-01,-2.088278278198e+00,7.436461836683e+00
1.500000000000e-02,-7.750000000000e-02,-1.750000000000e-02,-2.205549895415e-01,1.139024396050e+00,-5.559956817602e+00,2.475074044706e-01,-1.278649100354e+00,5.569029040875e+00
1.500000000000e-02,-7.750000000000e-02,-1.250000000000e-02,-2.342843900380e-01,1.209972353773e+00,-7.916630709296e+00,7.687259949506e-02,-3.972322451153e-01,2.112373189263e+00
1.500000000000e-02,-7.750000000000e-02,-7.500000000000e-03,-1.519941643789e-01,7.848432654621e-01,-8.385837365453e+00,-5.610334095596e-03,2.884690913887e-02,-7.815716523466e-01
1.500000000000e-02,-7.750000000000e-02,-2.500000000000e-03,-5.027339541421e-02,2.592897143929e-01,-8.229220513918e+00,-1.096711934926e-02,5.653211331876e-02,-2.284567272663e+00
1.500000000000e-02,-7.750000000000e-02,2.500000000000e-03,5.013899855115e-02,-2.595345916692e-01,-8.229348121479e+00,1.095410770990e-02,-5.663734356858e-02,-2.284259394207e+00
1.500000000000e-02,-7.750000000000e-02,7.500000000000e-03,1.518619790929e-01,-7.851112707726e-01,-8.386047634521e+00,5.606010413093e-03,-2.882679725731e-02,-7.806117459660e-01
1.500000000000e-02,-7.750000000000e-02,1.250000000000e-02,2.341531620533e-01,-1.210178957605e+00,-7.916414806602e+00,-7.685971558350e-02,3.974925992511e-01,2.113941136395e+00
1.500000000000e-02,-7.750000000000e-02,1.750000000000e-02,2.204213126427e-01,-1.138924948376e+00,-5.558663915794e+00,-2.474609520517e-01,1.279129021654e+00,5.570693182275e+00
1.500000000000e-02,-7.750000000000e-02,2.250000000000e-02,1.439102519651e-02,-7.397334913458e-02,-6.921121108899e-01,-4.041507759099e-01,2.088611245190e+00,7.437018829814e+00
1.500000000000e-02,-7.750000000000e-02,2.750000000000e-02,-3.378905481645e-01,1.746432318260e+00,4.819155663822e+00,-3.182196299320e-01,1.644128853508e+00,5.096021700805e+00
1.500000000000e-02,-7.750000000000e-02,3.250000000000e-02,-4.949362107365e-01,2.557503674449e+00,6.410787096025e+00,1.243175051074e-01,-6.429178654234e-01,-1.215566542269e+00
