antenna name=dipole
antenna size=5.555555555556e-03
measurement surface=sphere
freq=27000000000.000000
sampling point=900
sampling space=0.000000000000e+00
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-0.000000000000e+00,0.000000000000e+00,-5.000000000000e-03,0.000000000000e+00,-3.177924794718e-03,-1.084506347949e+02,0.000000000000e+00,1.873772379621e-02,2.489485353974e+01
-5.405950921197e-04,0.000000000000e+00,-4.970689785772e-03,-2.088355211179e+01,-3.137324250064e-03,-1.049049032730e+02,-1.206210882641e+01,1.859276953711e-02,2.767623073221e+01
-1.074852201055e-03,0.000000000000e+00,-4.883102778550e-03,-3.952043252435e+01,-2.974696522981e-03,-9.493805619627e+01,-2.179644962911e+01,1.821932619551e-02,3.518706423604e+01
-1.596507650680e-03,0.000000000000e+00,-4.738265855914e-03,-5.442567396116e+01,-2.616541496217e-03,-8.017103796425e+01,-2.790132808668e+01,1.773665763262e-02,4.546693967144e+01
-2.099445507801e-03,0.000000000000e+00,-4.537877098355e-03,-6.504310943631e+01,-2.033613313567e-03,-6.242880438561e+01,-3.029958863820e+01,1.721947150029e-02,5.645793648392e+01
-2.577769285885e-03,0.000000000000e+00,-4.284285880838e-03,-7.144496144364e+01,-1.260744906851e-03,-4.325763851319e+01,-2.968459997243e+01,1.666997674965e-02,6.665913516255e+01
-3.025871075969e-03,0.000000000000e+00,-3.980465328528e-03,-7.398607877538e+01,-3.701139742101e-04,-2.381996877376e+01,-2.700398902392e+01,1.604965708585e-02,7.524338174144e+01
-3.438497294267e-03,0.000000000000e+00,-3.629977459616e-03,-7.310321806110e+01,5.596008246300e-04,-4.969409076126e+00,-2.315294605724e+01,1.531495906014e-02,8.191062774343e+01
-3.810810275638e-03,0.000000000000e+00,-3.236931423909e-03,-6.923801142174e+01,1.460963823241e-03,1.265225303774e+01,-1.885235363183e+01,1.443528506240e-02,8.670316293491e+01
-4.138444990784e-03,0.000000000000e+00,-2.805935326812e-03,-6.281887345330e+01,2.284500503277e-03,2.854785972025e+01,-1.462248839126e+01,1.339703681639e-02,8.986112094493e+01
-4.417560222230e-03,0.000000000000e+00,-2.342042203499e-03,-5.426136493744e+01,2.999823107215e-03,4.232693960488e+01,-1.079402515120e+01,1.220145163370e-02,9.172248353549e+01
-4.644883599084e-03,0.000000000000e+00,-1.850690776700e-03,-4.397101363417e+01,3.594500247961e-03,5.368523850989e+01,-7.531065994818e+00,1.086089339577e-02,9.265416878975e+01
-4.817749962596e-03,0.000000000000e+00,-1.337641692646e-03,-3.234483710123e+01,4.072049408382e-03,6.239259972468e+01,-4.857915288394e+00,9.395507572927e-03,9.300278709623e+01
-4.934132612708e-03,0.000000000000e+00,-8.089099827638e-04,-1.977204218358e+01,4.449482269226e-03,6.828446168169e+01,-2.687689804077e+00,7.830782466759e-03,9.305853964367e+01
-4.992667069256e-03,0.000000000000e+00,-2.706945429271e-04,-6.635064567068e+00,4.754506690018e-03,7.125528235131e+01,-8.525385358468e-01,6.196021232659e-03,9.302921660179e+01
-4.992667069256e-03,0.000000000000e+00,2.706945429271e-04,6.688395537849e+00,5.022423209308e-03,7.125376296608e+01,8.646703039822e-01,4.523537199593e-03,9.302311985617e+01
-4.934132612708e-03,0.000000000000e+00,8.089099827638e-04,1.982239185765e+01,5.292768895085e-03,6.828027993775e+01,2.697622914775e+00,2.848311468210e-03,9.304056283307e+01
-4.817749962596e-03,0.000000000000e+00,1.337641692646e-03,3.238937167925e+01,5.605787976336e-03,6.238686758244e+01,4.863463270998e+00,1.207815320291e-03,9.297388400460e+01
-4.644883599084e-03,0.000000000000e+00,1.850690776700e-03,4.400718853369e+01,5.998823079303e-03,5.367975357865e+01,7.530082297930e+00,-3.583240980774e-04,9.261597257398e+01
-4.417560222230e-03,0.000000000000e+00,2.342042203499e-03,5.428705716267e+01,6.502713195372e-03,4.232410807572e+01,1.078446311692e+01,-1.809157928000e-03,9.167736656032e+01
-4.138444990784e-03,0.000000000000e+00,2.805935326812e-03,6.283250591583e+01,7.138248523216e-03,2.855059985516e+01,1.460251322528e+01,-3.104120710640e-03,8.981226651018e+01
-3.810810275638e-03,0.000000000000e+00,3.236931423909e-03,6.923867872956e+01,7.912670349672e-03,1.266388591840e+01,1.882053223615e+01,-4.206014859999e-03,8.665463220176e+01
-3.438497294267e-03,0.000000000000e+00,3.629977459616e-03,7.309083480129e+01,8.816152516504e-03,-4.945283305080e+00,2.310854986264e+01,-5.085692870477e-03,8.186738812793e+01
-3.025871075969e-03,0.000000000000e+00,3.980465328528e-03,7.396158246341e+01,9.818294355982e-03,-2.377963418767e+01,2.694745205610e+01,-5.728672733324e-03,7.521122616154e+01
-2.577769285885e-03,0.000000000000e+00,4.284285880838e-03,7.141059888196e+01,1.086523741093e-02,-4.319753817064e+01,2.961815788367e+01,-6.143082566301e-03,6.664435192664e+01
-2.099445507801e-03,0.000000000000e+00,4.537877098355e-03,6.500278123317e+01,1.187966533141e-02,-6.234606634232e+01,3.022802961972e+01,-6.365985619385e-03,5.646649252056e+01
