antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1600
sampling space=3.84615
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-75,-75,15,-0.0809487,0,0,0.103357,0,0
-75,-71.1538,15,0.052405,0,0,0.023858,0,0
-75,-67.3077,15,0.00278396,0,0,-0.0235746,0,0
-75,-63.4615,15,-0.095598,0,0,0.0445015,0,0
-75,-59.6154,15,-0.177706,0,0,-0.00280761,0,0
-75,-55.7692,15,0.213617,0,0,-0.0824994,0,0
-75,-51.9231,15,-0.0769946,0,0,-0.235618,0,0
-75,-48.0769,15,-0.0315577,0,0,-0.224103,0,0
-75,-44.2308,15,0.161,0,0,-0.0272667,0,0
-75,-40.3846,15,-0.0506275,0,0,0.0455429,0,0
-75,-36.5385,15,-0.0305767,0,0,0.0240252,0,0
-75,-32.6923,15,0.126707,0,0,-0.0268154,0,0
-75,-28.8462,15,-0.172173,0,0,-0.0382662,0,0
-75,-25,15,0.156683,0,0,0.0472994,0,0
-75,-21.1538,15,-0.0913259,0,0,0.0285653,0,0
-75,-17.3077,15,0.0013118,0,0,0.00310232,0,0
-75,-13.4615,15,-0.0043667,0,0,0.100287,0,0
-75,-9.61538,15,0.148269,0,0,0.0833704,0,0
-75,-5.76923,15,-0.123976,0,0,-0.164739,0,0
-75,-1.92308,15,0.200578,0,0,-0.0865089,0,0
-75,1.92308,15,0.200578,0,0,-0.0865089,0,0
-75,5.76923,15,-0.123976,0,0,-0.164739,0,0
-75,9.61538,15,0.148269,0,0,0.0833704,0,0
-75,13.4615,15,-0.0043667,0,0,0.100287,0,0
-75,17.3077,15,0.0013118,0,0,0.00310232,0,0
-75,21.1538,15,-0.0913259,0,0,0.0285653,0,0
-75,25,15,0.156683,0,0,0.0472994,0,0
-75,28.8462,15,-0.172173,0,0,-0.0382662,0,0
-75,32.6923,15,0.126707,0,0,-0.0268154,0,0
-75,36.5385,15,-0.0305767,0,0,0.0240252,0,0
-75,40.3846,15,-0.0506275,0,0,0.0455429,0,0
-75,44.2308,15,0.161,0,0,-0.0272667,0,0
-75,48.0769,15,-0.0315577,0,0,-0.224103,0,0
-75,51.9231,15,-0.0769946,0,0,-0.235618,0,0
-75,55.7692,15,0.213617,0,0,-0.0824994,0,0
-75,59.6154,15,-0.177706,0,0,-0.00280761,0,0
-75,63.4615,15,-0.095598,0,0,0.0445015,0,0
-75,67.3077,15,0.00278396,0,0,-0.0235746,0,0
-75,71.1538,15,0.052405,0,0,0.023858,0,0
-75,75,15,-0.0809487,0,0,0.103357,0,0
-71.1538,-75,15,0.186569,0,0,0.0838412,0,0
-71.1538,-71.1538,15,0.00744353,0,0,0.13566,0,0
-71.1538,-67.3077,15,0.0466766,0,0,-0.0254312,0,0
-71.1538,-63.4615,15,-0.0353158,0,0,-0.0137268,0,0
-71.1538,-59.6154,15,0.0920281,0,0,0.0889706,0,0
-71.1538,-55.7692,15,0.191706,0,0,0.0715624,0,0
-71.1538,-51.9231,15,-0.0982872,0,0,0.233439,0,0
-71.1538,-48.0769,15,0.137902,0,0,-0.22114,0,0
-71.1538,-44.2308,15,-0.193918,0,0,-0.101506,0,0
-71.1538,-40.3846,15,-0.128646,0,0,0.0251979,0,0
-71.1538,-36.5385,15,-0.0142225,0,0,0.00313668,0,0
-71.1538,-32.6923,15,0.0985289,0,0,-0.0187095,0,0
-71.1538,-28.8462,15,0.171907,0,0,-0.0437649,0,0
-71.1538,-25,15,0.121493,0,0,-0.145012,0,0
-71.1538,-21.1538,15,-0.0977215,0,0,-0.0862361,0,0
-71.1538,-17.3077,15,0.0109824,0,0,0.0200454,0,0
-71.1538,-13.4615,15,0.092723,0,0,-0.014994,0,0
-71.1538,-9.61538,15,0.184366,0,0,-0.00895481,0,0
