antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1600
sampling space=2.5641
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-50,-50,10,-0.621926,0,0,0,0,0
-50,-47.4359,10,-0.6009,0,0,0,0,0
-50,-44.8718,10,-0.578595,0,0,0,0,0
-50,-42.3077,10,-0.554972,0,0,0,0,0
-50,-39.7436,10,-0.530001,0,0,0,0,0
-50,-37.1795,10,-0.503663,0,0,0,0,0
-50,-34.6154,10,-0.475954,0,0,0,0,0
-50,-32.0513,10,-0.446886,0,0,0,0,0
-50,-29.4872,10,-0.416489,0,0,0,0,0
-50,-26.9231,10,-0.384812,0,0,0,0,0
-50,-24.359,10,-0.351925,0,0,0,0,0
-50,-21.7949,10,-0.317914,0,0,0,0,0
-50,-19.2308,10,-0.282882,0,0,0,0,0
-50,-16.6667,10,-0.246945,0,0,0,0,0
-50,-14.1026,10,-0.210228,0,0,0,0,0
-50,-11.5385,10,-0.172861,0,0,0,0,0
-50,-8.97436,10,-0.134971,0,0,0,0,0
-50,-6.41026,10,-0.0966836,0,0,0,0,0
-50,-3.84615,10,-0.0581191,0,0,0,0,0
-50,-1.28205,10,-0.019391,0,0,0,0,0
-50,1.28205,10,0.019391,0,0,0,0,0
-50,3.84615,10,0.0581191,0,0,0,0,0
-50,6.41026,10,0.0966836,0,0,0,0,0
-50,8.97436,10,0.134971,0,0,0,0,0
-50,11.5385,10,0.172861,0,0,0,0,0
-50,14.1026,10,0.210228,0,0,0,0,0
-50,16.6667,10,0.246945,0,0,0,0,0
-50,19.2308,10,0.282882,0,0,0,0,0
-50,21.7949,10,0.317914,0,0,0,0,0
-50,24.359,10,0.351925,0,0,0,0,0
-50,26.9231,10,0.384812,0,0,0,0,0
-50,29.4872,10,0.416489,0,0,0,0,0
-50,32.0513,10,0.446886,0,0,0,0,0
-50,34.6154,10,0.475954,0,0,0,0,0
-50,37.1795,10,0.503663,0,0,0,0,0
-50,39.7436,10,0.530001,0,0,0,0,0
-50,42.3077,10,0.554972,0,0,0,0,0
-50,44.8718,10,0.578595,0,0,0,0,0
-50,47.4359,10,0.6009,0,0,0,0,0
-50,50,10,0.621926,0,0,0,0,0
-47.4359,-50,10,-0.641474,0,0,0,0,0
-47.4359,-47.4359,10,-0.620545,0,0,0,0,0
-47.4359,-44.8718,10,-0.598246,0,0,0,0,0
-47.4359,-42.3077,10,-0.574524,0,0,0,0,0
