antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1681
sampling space=2.5
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-50,-50,10,-0.621926,0,0,0,0,0
-50,-47.5,10,-0.601441,0,0,0,0,0
-50,-45,10,-0.579741,0,0,0,0,0
-50,-42.5,10,-0.55679,0,0,0,0,0
-50,-40,10,-0.532559,0,0,0,0,0
-50,-37.5,10,-0.50703,0,0,0,0,0
-50,-35,10,-0.480197,0,0,0,0,0
-50,-32.5,10,-0.45207,0,0,0,0,0
-50,-30,10,-0.422672,0,0,0,0,0
-50,-27.5,10,-0.392048,0,0,0,0,0
-50,-25,10,-0.360256,0,0,0,0,0
-50,-22.5,10,-0.327373,0,0,0,0,0
-50,-20,10,-0.293492,0,0,0,0,0
-50,-17.5,10,-0.258716,0,0,0,0,0
-50,-15,10,-0.22316,0,0,0,0,0
-50,-12.5,10,-0.186942,0,0,0,0,0
-50,-10,10,-0.150181,0,0,0,0,0
-50,-7.5,10,-0.112996,0,0,0,0,0
-50,-5,10,-0.0755001,0,0,0,0,0
-50,-2.5,10,-0.0378003,0,0,0,0,0
-50,0,10,0,0,0,0,0,0
-50,2.5,10,0.0378003,0,0,0,0,0
-50,5,10,0.0755001,0,0,0,0,0
-50,7.5,10,0.112996,0,0,0,0,0
-50,10,10,0.150181,0,0,0,0,0
-50,12.5,10,0.186942,0,0,0,0,0
-50,15,10,0.22316,0,0,0,0,0
-50,17.5,10,0.258716,0,0,0,0,0
-50,20,10,0.293492,0,0,0,0,0
-50,22.5,10,0.327373,0,0,0,0,0
-50,25,10,0.360256,0,0,0,0,0
-50,27.5,10,0.392048,0,0,0,0,0
-50,30,10,0.422672,0,0,0,0,0
-50,32.5,10,0.45207,0,0,0,0,0
-50,35,10,0.480197,0,0,0,0,0
-50,37.5,10,0.50703,0,0,0,0,0
-50,40,10,0.532559,0,0,0,0,0
-50,42.5,10,0.55679,0,0,0,0,0
-50,45,10,0.579741,0,0,0,0,0
-50,47.5,10,0.601441,0,0,0,0,0
-50,50,10,0.621926,0,0,0,0,0
-47.5,-50,10,-0.640977,0,0,0,0,0
-47.5,-47.5,10,-0.620584,0,0,0,0,0
-47.5,-45,10,-0.598893,0,0,0,0,0
-47.5,-42.5,10,-0.575853,0,0,0,0,0
-47.5,-40,10,-0.551425,0,0,0,0,0
-47.5,-37.5,10,-0.525579,0,0,0,0,0
-47.5,-35,10,-0.498299,0,0,0,0,0
-47.5,-32.5,10,-0.469588,0,0,0,0,0
-47.5,-30,10,-0.439464,0,0,0,0,0
-47.5,-27.5,10,-0.40797,0,0,0,0,0
-47.5,-25,10,-0.375168,0,0,0,0,0
-47.5,-22.5,10,-0.341142,0,0,0,0,0
-47.5,-20,10,-0.305995,0,0,0,0,0
-47.5,-17.5,10,-0.269848,0,0,0,0,0
-47.5,-15,10,-0.232831,0,0,0,0,0
-47.5,-12.5,10,-0.195083,0,0,0,0,0
-47.5,-10,10,-0.156741,0,0,0,0,0
