antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1600
sampling space=0.0769231
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-1.5,-1.5,0.3,6.10972,0,0,5.19761,0,0
-1.5,-1.42308,0.3,-2.63661,0,0,1.23404,0,0
-1.5,-1.34615,0.3,-1.88883,0,0,2.59814,0,0
-1.5,-1.26923,0.3,-5.55529,0,0,-7.46922,0,0
-1.5,-1.19231,0.3,14.3925,0,0,-4.16945,0,0
-1.5,-1.11538,0.3,-0.236733,0,0,19.2534,0,0
-1.5,-1.03846,0.3,-20.5526,0,0,-4.66155,0,0
-1.5,-0.961538,0.3,6.4569,0,0,-18.4259,0,0
-1.5,-0.884615,0.3,13.3639,0,0,4.62665,0,0
-1.5,-0.807692,0.3,-0.444684,0,0,5.34341,0,0
-1.5,-0.730769,0.3,5.49412,0,0,2.41679,0,0
-1.5,-0.653846,0.3,0.83762,0,0,16.4505,0,0
-1.5,-0.576923,0.3,-20.5306,0,0,11.7031,0,0
-1.5,-0.5,0.3,-22.359,0,0,-10.8746,0,0
-1.5,-0.423077,0.3,-6.9446,0,0,-18.0789,0,0
-1.5,-0.346154,0.3,-2.73066,0,0,-10.466,0,0
-1.5,-0.269231,0.3,-12.6309,0,0,-11.0418,0,0
-1.5,-0.192308,0.3,-20.2756,0,0,-25.8874,0,0
-1.5,-0.115385,0.3,-18.5727,0,0,-43.8559,0,0
-1.5,-0.0384615,0.3,-13.8892,0,0,-54.6081,0,0
-1.5,0.0384615,0.3,-13.8892,0,0,-54.6081,0,0
-1.5,0.115385,0.3,-18.5727,0,0,-43.8559,0,0
-1.5,0.192308,0.3,-20.2756,0,0,-25.8874,0,0
-1.5,0.269231,0.3,-12.6309,0,0,-11.0418,0,0
-1.5,0.346154,0.3,-2.73066,0,0,-10.466,0,0
-1.5,0.423077,0.3,-6.9446,0,0,-18.0789,0,0
-1.5,0.5,0.3,-22.359,0,0,-10.8746,0,0
-1.5,0.576923,0.3,-20.5306,0,0,11.7031,0,0
-1.5,0.653846,0.3,0.83762,0,0,16.4505,0,0
-1.5,0.730769,0.3,5.49412,0,0,2.41679,0,0
-1.5,0.807692,0.3,-0.444684,0,0,5.34341,0,0
-1.5,0.884615,0.3,13.3639,0,0,4.62665,0,0
-1.5,0.961538,0.3,6.4569,0,0,-18.4259,0,0
