antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1681
sampling space=0.075
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-1.5,-1.5,0.3,6.10972,0,0,5.19761,0,0
-1.5,-1.425,0.3,-2.70342,0,0,1.40337,0,0
-1.5,-1.35,0.3,-1.52628,0,0,2.48487,0,0
-1.5,-1.275,0.3,-6.26052,0,0,-6.26119,0,0
-1.5,-1.2,0.3,12.8784,0,0,-6.58196,0,0
-1.5,-1.125,0.3,4.04665,0,0,18.3938,0,0
-1.5,-1.05,0.3,-20.9819,0,0,0.805258,0,0
-1.5,-0.975,0.3,1.00032,0,0,-20.0431,0,0
-1.5,-0.9,0.3,15.5142,0,0,0.486889,0,0
-1.5,-0.825,0.3,1.22056,0,0,7.45666,0,0
-1.5,-0.75,0.3,3.20164,0,0,0.942948,0,0
-1.5,-0.675,0.3,4.96067,0,0,12.8608,0,0
-1.5,-0.6,0.3,-14.7279,0,0,16.3587,0,0
-1.5,-0.525,0.3,-24.9096,0,0,-3.90102,0,0
-1.5,-0.45,0.3,-12.2996,0,0,-18.2245,0,0
-1.5,-0.375,0.3,-2.0583,0,0,-13.5015,0,0
-1.5,-0.3,0.3,-7.99836,0,0,-8.865,0,0
-1.5,-0.225,0.3,-18.1554,0,0,-18.3917,0,0
-1.5,-0.15,0.3,-20.2734,0,0,-36.2139,0,0
-1.5,-0.075,0.3,-15.8821,0,0,-50.7525,0,0
-1.5,0,0.3,-13.0797,0,0,-56.0006,0,0
-1.5,0.075,0.3,-15.8821,0,0,-50.7525,0,0
-1.5,0.15,0.3,-20.2734,0,0,-36.2139,0,0
-1.5,0.225,0.3,-18.1554,0,0,-18.3917,0,0
-1.5,0.3,0.3,-7.99836,0,0,-8.865,0,0
-1.5,0.375,0.3,-2.0583,0,0,-13.5015,0,0
-1.5,0.45,0.3,-12.2996,0,0,-18.2245,0,0
-1.5,0.525,0.3,-24.9096,0,0,-3.90102,0,0
-1.5,0.6,0.3,-14.7279,0,0,16.3587,0,0
-1.5,0.675,0.3,4.96067,0,0,12.8608,0,0
-1.5,0.75,0.3,3.20164,0,0,0.942948,0,0
-1.5,0.825,0.3,1.22056,0,0,7.45666,0,0
-1.5,0.9,0.3,15.5142,0,0,0.486889,0,0
-1.5,0.975,0.3,1.00032,0,0,-20.0431,0,0
-1.5,1.05,0.3,-20.9819,0,0,0.805258,0,0
-1.5,1.125,0.3,4.04665,0,0,18.3938,0,0
-1.5,1.2,0.3,12.8784,0,0,-6.58196,0,0
-1.5,1.275,0.3,-6.26052,0,0,-6.26119,0,0
-1.5,1.35,0.3,-1.52628,0,0,2.48487,0,0
-1.5,1.425,0.3,-2.70342,0,0,1.40337,0,0
-1.5,1.5,0.3,6.10972,0,0,5.19761,0,0
-1.425,-1.5,0.3,-12.3896,0,0,2.74145,0,0
-1.425,-1.425,0.3,2.76414,0,0,-7.65065,0,0
-1.425,-1.35,0.3,2.0757,0,0,1.55367,0,0
-1.425,-1.275,0.3,4.06994,0,0,0.535863,0,0
-1.425,-1.2,0.3,-4.11614,0,0,9.85131,0,0
-1.425,-1.125,0.3,-12.8452,0,0,-10.5993,0,0
-1.425,-1.05,0.3,16.6111,0,0,-12.6976,0,0
-1.425,-0.975,0.3,10.8714,0,0,19.427,0,0
-1.425,-0.9,0.3,-17.6122,0,0,8.91733,0,0
-1.425,-0.825,0.3,-6.9023,0,0,-11.0032,0,0
-1.425,-0.75,0.3,1.09173,0,0,-2.83546,0,0
-1.425,-0.675,0.3,-5.9239,0,0,-7.85626,0,0
-1.425,-0.6,0.3,8.85699,0,0,-18.5614,0,0
-1.425,-0.525,0.3,26.5841,0,0,-2.57447,0,0
-1.425,-0.45,0.3,18.3939,0,0,18.1219,0,0
-1.425,-0.375,0.3,3.93072,0,0,17.6934,0,0
-1.425,-0.3,0.3,6.54401,0,0,10.6441,0,0
-1.425,-0.225,0.3,18.6236,0,0,17.4611,0,0
-1.425,-0.15,0.3,24.3252,0,0,36.0992,0,0
-1.425,-0.075,0.3,22.0148,0,0,53.1086,0,0
-1.425,0,0.3,19.7331,0,0,59.554,0,0
-1.425,0.075,0.3,22.0148,0,0,53.1086,0,0
-1.425,0.15,0.3,24.3252,0,0,36.0992,0,0
-1.425,0.225,0.3,18.6236,0,0,17.4611,0,0
-1.425,0.3,0.3,6.54401,0,0,10.6441,0,0
-1.425,0.375,0.3,3.93072,0,0,17.6934,0,0
-1.425,0.45,0.3,18.3939,0,0,18.1219,0,0
-1.425,0.525,0.3,26.5841,0,0,-2.57447,0,0
-1.425,0.6,0.3,8.85699,0,0,-18.5614,0,0
-1.425,0.675,0.3,-5.9239,0,0,-7.85626,0,0
-1.425,0.75,0.3,1.09173,0,0,-2.83546,0,0
-1.425,0.825,0.3,-6.9023,0,0,-11.0032,0,0
-1.425,0.9,0.3,-17.6122,0,0,8.91733,0,0
-1.425,0.975,0.3,10.8714,0,0,19.427,0,0
-1.425,1.05,0.3,16.6111,0,0,-12.6976,0,0
-1.425,1.125,0.3,-12.8452,0,0,-10.5993,0,0
-1.425,1.2,0.3,-4.11614,0,0,9.85131,0,0
-1.425,1.275,0.3,4.06994,0,0,0.535863,0,0
-1.425,1.35,0.3,2.0757,0,0,1.55367,0,0
-1.425,1.425,0.3,2.76414,0,0,-7.65065,0,0
-1.425,1.5,0.3,-12.3896,0,0,2.74145,0,0
-1.35,-1.5,0.3,5.96657,0,0,-15.974,0,0
-1.35,-1.425,0.3,7.20786,0,0,11.1964,0,0
-1.35,-1.35,0.3,-8.20298,0,0,0.19268,0,0
-1.35,-1.275,0.3,0.193786,0,0,-2.03326,0,0
-1.35,-1.2,0.3,-1.5554,0,0,-5.36117,0,0
-1.35,-1.125,0.3,12.8494,0,0,-0.0941326,0,0
-1.35,-1.05,0.3,-4.993,0,0,18.4815,0,0
-1.35,-0.975,0.3,-20.6537,0,0,-10.2243,0,0
-1.35,-0.9,0.3,12.2838,0,0,-19.6085,0,0
-1.35,-0.825,0.3,15.7931,0,0,9.49876,0,0
-1.35,-0.75,0.3,-2.77838,0,0,8.54932,0,0
-1.35,-0.675,0.3,3.2174,0,0,3.58971,0,0
-1.35,-0.6,0.3,-2.62725,0,0,17.5039,0,0
-1.35,-0.525,0.3,-25.3933,0,0,9.7904,0,0
-1.35,-0.45,0.3,-25.0517,0,0,-15.5044,0,0
-1.35,-0.375,0.3,-7.86439,0,0,-21.9257,0,0
-1.35,-0.3,0.3,-5.54839,0,0,-13.7311,0,0
-1.35,-0.225,0.3,-18.6325,0,0,-16.8757,0,0
-1.35,-0.15,0.3,-28.6115,0,0,-35.4473,0,0
-1.35,-0.075,0.3,-29.361,0,0,-54.9049,0,0
