antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1024
sampling space=1.54839
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-24,-24,1.5,0.467812,0,0,0.00175907,0,0
-24,-22.4516,1.5,0.0877089,0,0,0.167871,0,0
-24,-20.9032,1.5,-0.112345,0,0,-0.0539062,0,0
-24,-19.3548,1.5,0.129748,0,0,0.405212,0,0
-24,-17.8065,1.5,-0.645647,0,0,-0.0461644,0,0
-24,-16.2581,1.5,-0.712314,0,0,0.10569,0,0
-24,-14.7097,1.5,0.551077,0,0,0.234919,0,0
-24,-13.1613,1.5,0.0156526,0,0,0.300009,0,0
-24,-11.6129,1.5,-0.0710337,0,0,0.0312136,0,0
-24,-10.0645,1.5,-0.123421,0,0,-0.348418,0,0
-24,-8.51613,1.5,-0.379315,0,0,0.216891,0,0
-24,-6.96774,1.5,-0.226059,0,0,-0.133053,0,0
-24,-5.41935,1.5,-0.0185538,0,0,0.000364929,0,0
-24,-3.87097,1.5,-0.147958,0,0,-0.102846,0,0
-24,-2.32258,1.5,0.147821,0,0,-0.0792982,0,0
-24,-0.774194,1.5,-0.0703114,0,0,-0.0479709,0,0
-24,0.774194,1.5,-0.0703114,0,0,-0.0479709,0,0
-24,2.32258,1.5,0.147821,0,0,-0.0792982,0,0
-24,3.87097,1.5,-0.147958,0,0,-0.102846,0,0
-24,5.41935,1.5,-0.0185538,0,0,0.000364929,0,0
-24,6.96774,1.5,-0.226059,0,0,-0.133053,0,0
-24,8.51613,1.5,-0.379315,0,0,0.216891,0,0
-24,10.0645,1.5,-0.123421,0,0,-0.348418,0,0
-24,11.6129,1.5,-0.0710337,0,0,0.0312136,0,0
-24,13.1613,1.5,0.0156526,0,0,0.300009,0,0
-24,14.7097,1.5,0.551077,0,0,0.234919,0,0
-24,16.2581,1.5,-0.712314,0,0,0.10569,0,0
-24,17.8065,1.5,-0.645647,0,0,-0.0461644,0,0
-24,19.3548,1.5,0.129748,0,0,0.405212,0,0
-24,20.9032,1.5,-0.112345,0,0,-0.0539062,0,0
-24,22.4516,1.5,0.0877089,0,0,0.167871,0,0
-24,24,1.5,0.467812,0,0,0.00175907,0,0
-22.4516,-24,1.5,0.356583,0,0,0.652673,0,0
-22.4516,-22.4516,1.5,-0.432134,0,0,-0.249787,0,0
-22.4516,-20.9032,1.5,-0.00306104,0,0,-0.17884,0,0
-22.4516,-19.3548,1.5,0.135096,0,0,0.120781,0,0
-22.4516,-17.8065,1.5,-0.187421,0,0,-0.47945,0,0
-22.4516,-16.2581,1.5,0.641598,0,0,-0.355098,0,0
-22.4516,-14.7097,1.5,0.0931129,0,0,-0.74429,0,0
-22.4516,-13.1613,1.5,0.149148,0,0,0.505762,0,0
-22.4516,-11.6129,1.5,0.0434083,0,0,0.119516,0,0
-22.4516,-10.0645,1.5,0.169482,0,0,0.221612,0,0
-22.4516,-8.51613,1.5,0.403433,0,0,0.251032,0,0
-22.4516,-6.96774,1.5,-0.343108,0,0,0.112986,0,0
-22.4516,-5.41935,1.5,0.00793044,0,0,0.058368,0,0
-22.4516,-3.87097,1.5,0.00522049,0,0,-0.178879,0,0
-22.4516,-2.32258,1.5,0.0933959,0,0,0.170676,0,0
-22.4516,-0.774194,1.5,0.0796785,0,0,-0.0658702,0,0
-22.4516,0.774194,1.5,0.0796785,0,0,-0.0658702,0,0
-22.4516,2.32258,1.5,0.0933959,0,0,0.170676,0,0
-22.4516,3.87097,1.5,0.00522049,0,0,-0.178879,0,0
-22.4516,5.41935,1.5,0.00793044,0,0,0.058368,0,0
-22.4516,6.96774,1.5,-0.343108,0,0,0.112986,0,0
-22.4516,8.51613,1.5,0.403433,0,0,0.251032,0,0
-22.4516,10.0645,1.5,0.169482,0,0,0.221612,0,0
-22.4516,11.6129,1.5,0.0434083,0,0,0.119516,0,0
-22.4516,13.1613,1.5,0.149148,0,0,0.505762,0,0
-22.4516,14.7097,1.5,0.0931129,0,0,-0.74429,0,0
-22.4516,16.2581,1.5,0.641598,0,0,-0.355098,0,0
-22.4516,17.8065,1.5,-0.187421,0,0,-0.47945,0,0
-22.4516,19.3548,1.5,0.135096,0,0,0.120781,0,0
-22.4516,20.9032,1.5,-0.00306104,0,0,-0.17884,0,0
-22.4516,22.4516,1.5,-0.432134,0,0,-0.249787,0,0
-22.4516,24,1.5,0.356583,0,0,0.652673,0,0
-20.9032,-24,1.5,0.860311,0,0,0.479301,0,0
-20.9032,-22.4516,1.5,-0.0334177,0,0,-0.813126,0,0
-20.9032,-20.9032,1.5,0.275335,0,0,0.45854,0,0
-20.9032,-19.3548,1.5,-0.0672303,0,0,0.148096,0,0
