antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1024
sampling space=0.154839
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-2.4,-2.4,0.15,1.5737,0,0,-4.16259,0,0
-2.4,-2.24516,0.15,-1.61383,0,0,-0.569709,0,0
-2.4,-2.09032,0.15,-1.1158,0,0,-1.1563,0,0
-2.4,-1.93548,0.15,-2.00402,0,0,3.9912,0,0
-2.4,-1.78065,0.15,6.31895,0,0,-1.66904,0,0
-2.4,-1.62581,0.15,-6.64672,0,0,-2.48341,0,0
-2.4,-1.47097,0.15,4.14942,0,0,3.99548,0,0
-2.4,-1.31613,0.15,-1.29095,0,0,-2.55309,0,0
-2.4,-1.16129,0.15,-1.55656,0,0,0.59812,0,0
-2.4,-1.00645,0.15,3.83838,0,0,-1.10016,0,0
-2.4,-0.851613,0.15,-2.61678,0,0,3.47916,0,0
-2.4,-0.696774,0.15,-0.491775,0,0,-2.50668,0,0
-2.4,-0.541935,0.15,0.277329,0,0,1.41151,0,0
-2.4,-0.387097,0.15,-2.44876,0,0,-0.624534,0,0
-2.4,-0.232258,0.15,-0.293728,0,0,-2.32645,0,0
-2.4,-0.0774194,0.15,1.22233,0,0,-1.32553,0,0
-2.4,0.0774194,0.15,1.22233,0,0,-1.32553,0,0
-2.4,0.232258,0.15,-0.293728,0,0,-2.32645,0,0
-2.4,0.387097,0.15,-2.44876,0,0,-0.624534,0,0
-2.4,0.541935,0.15,0.277329,0,0,1.41151,0,0
-2.4,0.696774,0.15,-0.491775,0,0,-2.50668,0,0
-2.4,0.851613,0.15,-2.61678,0,0,3.47916,0,0
-2.4,1.00645,0.15,3.83838,0,0,-1.10016,0,0
-2.4,1.16129,0.15,-1.55656,0,0,0.59812,0,0
-2.4,1.31613,0.15,-1.29095,0,0,-2.55309,0,0
-2.4,1.47097,0.15,4.14942,0,0,3.99548,0,0
-2.4,1.62581,0.15,-6.64672,0,0,-2.48341,0,0
-2.4,1.78065,0.15,6.31895,0,0,-1.66904,0,0
-2.4,1.93548,0.15,-2.00402,0,0,3.9912,0,0
-2.4,2.09032,0.15,-1.1158,0,0,-1.1563,0,0
-2.4,2.24516,0.15,-1.61383,0,0,-0.569709,0,0
-2.4,2.4,0.15,1.5737,0,0,-4.16259,0,0
-2.24516,-2.4,0.15,-7.14648,0,0,-0.856071,0,0
-2.24516,-2.24516,0.15,-0.384156,0,0,4.69741,0,0
-2.24516,-2.09032,0.15,1.57421,0,0,0.193362,0,0
-2.24516,-1.93548,0.15,1.88903,0,0,1.15054,0,0
-2.24516,-1.78065,0.15,0.613074,0,0,-5.33472,0,0
-2.24516,-1.62581,0.15,-5.77613,0,0,4.54849,0,0
-2.24516,-1.47097,0.15,7.25675,0,0,-0.855084,0,0
-2.24516,-1.31613,0.15,-4.83696,0,0,-1.19323,0,0
-2.24516,-1.16129,0.15,0.863339,0,0,1.36321,0,0
