antenna name=nine-dipole
antenna size=0.675
freq=2e+09
sampling point=1024
sampling space=0.0774194
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-1.2,-1.2,0.15,6.66851,0,0,2.72181,0,0
-1.2,-1.12258,0.15,-2.3192,0,0,-0.506466,0,0
-1.2,-1.04516,0.15,3.53657,0,0,4.04964,0,0
-1.2,-0.967742,0.15,-10.4876,0,0,0.672339,0,0
-1.2,-0.890323,0.15,4.80448,0,0,-12.879,0,0
-1.2,-0.812903,0.15,10.8539,0,0,8.53536,0,0
-1.2,-0.735484,0.15,-8.32459,0,0,6.1256,0,0
-1.2,-0.658065,0.15,-0.248619,0,0,-5.07208,0,0
-1.2,-0.580645,0.15,1.90291,0,0,5.69249,0,0
-1.2,-0.503226,0.15,-9.67427,0,0,1.69884,0,0
-1.2,-0.425806,0.15,-3.61585,0,0,-9.11534,0,0
-1.2,-0.348387,0.15,5.19179,0,0,-3.38199,0,0
-1.2,-0.270968,0.15,0.358286,0,0,3.30843,0,0
-1.2,-0.193548,0.15,-5.20203,0,0,-1.0813,0,0
-1.2,-0.116129,0.15,-2.66546,0,0,-8.11971,0,0
-1.2,-0.0387097,0.15,2.01402,0,0,-11.1869,0,0
-1.2,0.0387097,0.15,2.01402,0,0,-11.1869,0,0
-1.2,0.116129,0.15,-2.66546,0,0,-8.11971,0,0
-1.2,0.193548,0.15,-5.20203,0,0,-1.0813,0,0
-1.2,0.270968,0.15,0.358286,0,0,3.30843,0,0
-1.2,0.348387,0.15,5.19179,0,0,-3.38199,0,0
-1.2,0.425806,0.15,-3.61585,0,0,-9.11534,0,0
-1.2,0.503226,0.15,-9.67427,0,0,1.69884,0,0
-1.2,0.580645,0.15,1.90291,0,0,5.69249,0,0
-1.2,0.658065,0.15,-0.248619,0,0,-5.07208,0,0
-1.2,0.735484,0.15,-8.32459,0,0,6.1256,0,0
-1.2,0.812903,0.15,10.8539,0,0,8.53536,0,0
-1.2,0.890323,0.15,4.80448,0,0,-12.879,0,0
-1.2,0.967742,0.15,-10.4876,0,0,0.672339,0,0
-1.2,1.04516,0.15,3.53657,0,0,4.04964,0,0
-1.2,1.12258,0.15,-2.3192,0,0,-0.506466,0,0
-1.2,1.2,0.15,6.66851,0,0,2.72181,0,0
-1.12258,-1.2,0.15,-10.3719,0,0,7.22882,0,0
-1.12258,-1.12258,0.15,1.58084,0,0,-7.1922,0,0
-1.12258,-1.04516,0.15,-0.811548,0,0,2.22026,0,0
-1.12258,-0.967742,0.15,4.34661,0,0,-5.40016,0,0
-1.12258,-0.890323,0.15,3.73177,0,0,11.8475,0,0
-1.12258,-0.812903,0.15,-15.096,0,0,-1.2218,0,0
-1.12258,-0.735484,0.15,4.96418,0,0,-12.8061,0,0
-1.12258,-0.658065,0.15,6.42553,0,0,5.51113,0,0
-1.12258,-0.580645,0.15,-4.50951,0,0,-1.59539,0,0
-1.12258,-0.503226,0.15,7.88684,0,0,-5.0006,0,0
-1.12258,-0.425806,0.15,7.00378,0,0,8.89075,0,0
-1.12258,-0.348387,0.15,-5.26925,0,0,6.52699,0,0
-1.12258,-0.270968,0.15,-2.61254,0,0,-2.94945,0,0
-1.12258,-0.193548,0.15,4.7747,0,0,0.197974,0,0
-1.12258,-0.116129,0.15,2.92894,0,0,8.79611,0,0
-1.12258,-0.0387097,0.15,-2.53596,0,0,13.102,0,0
