antenna name=patcharray
antenna size=1.500000000000e-02
measurement surface=plane
freq=27000000000.000000
sampling point=256
sampling space=1.000000000000e-02
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-5.000000000000e-01,-5.000000000000e-01,1.000000000000e-01,-1.917605664374e-01,2.095992509747e-01,5.469328643876e-02,1.755156272180e-01,-2.460236376342e-01,-3.026256371005e-01
-5.000000000000e-01,-4.333333333333e-01,1.000000000000e-01,-1.377474056808e-01,2.273958536158e-01,2.608430035451e-01,1.318625489371e-01,-2.313020733116e-01,-2.894192631992e-01
-5.000000000000e-01,-3.666666666667e-01,1.000000000000e-01,1.219084543787e-01,-2.954819754762e-01,-4.037148142113e-01,-4.420382991833e-02,-2.533735411505e-02,-3.191893016894e-01
-5.000000000000e-01,-3.000000000000e-01,1.000000000000e-01,1.887817910943e-01,-1.142781946997e-01,6.202109684228e-01,7.403907904358e-02,-2.601956188235e-01,-3.363997288618e-01
-5.000000000000e-01,-2.333333333333e-01,1.000000000000e-01,5.604913913970e-02,-2.174575360209e-01,-1.576437037516e-01,-3.435051554380e-01,3.370591666123e-01,-9.678656275904e-01
-5.000000000000e-01,-1.666666666667e-01,1.000000000000e-01,4.245398312048e-01,-5.965980147531e-01,1.204567956773e+00,-1.705556098036e-01,1.555517168808e-01,-5.805935462271e-01
-5.000000000000e-01,-1.000000000000e-01,1.000000000000e-01,-4.579497621038e-01,7.100874716647e-01,-1.657508320431e+00,1.604845250726e-01,-3.133807259023e-01,5.212498026317e-01
-5.000000000000e-01,-3.333333333333e-02,1.000000000000e-01,6.352179242390e-02,-3.321278341562e-01,2.831258598329e-01,4.475372382589e-01,-6.722893593201e-01,2.089902597194e+00
-5.000000000000e-01,3.333333333333e-02,1.000000000000e-01,2.881605607762e-02,-3.446882055704e-01,3.801152344290e-01,4.310125365583e-01,-3.801806213297e-01,2.337182386713e+00
-5.000000000000e-01,1.000000000000e-01,1.000000000000e-01,-4.660738445956e-01,-4.493275100584e-02,-2.290099636556e+00,1.064915616006e-01,-2.177984808813e-01,8.936797956616e-01
-5.000000000000e-01,1.666666666667e-01,1.000000000000e-01,5.320485435273e-01,3.413086845394e-01,2.061560967517e+00,-2.327968190178e-01,-6.603243094695e-02,-1.185164348016e+00
-5.000000000000e-01,2.333333333333e-01,1.000000000000e-01,-1.020117184550e-01,-9.510130060016e-02,-4.002440743531e-01,-6.902593030369e-01,-5.671304248465e-01,-2.134609235607e+00
-5.000000000000e-01,3.000000000000e-01,1.000000000000e-01,7.141002945756e-01,6.035939228273e-01,1.745266285820e+00,-3.307195213915e-01,-3.267264022118e-01,-7.576137920829e-01
-5.000000000000e-01,3.666666666667e-01,1.000000000000e-01,-5.437672332619e-01,-4.900233387667e-01,-9.792662278986e-01,-6.239385459046e-01,-4.919379480126e-01,-1.294949184022e+00
-5.000000000000e-01,4.333333333333e-01,1.000000000000e-01,7.286109599925e-01,5.486777521086e-01,1.267660111976e+00,-3.803784139998e-01,-3.306196787219e-01,-5.114853675860e-01
-5.000000000000e-01,5.000000000000e-01,1.000000000000e-01,5.206178631051e-01,3.497891105791e-01,8.522163945810e-01,-5.857226216781e-01,-4.384299432700e-01,-7.671138892256e-01
-4.333333333333e-01,-5.000000000000e-01,1.000000000000e-01,-3.316494222278e-01,3.141296884640e-01,7.160849951004e-02,5.183217599643e-02,-1.070660760654e-01,-2.906394393882e-01
-4.333333333333e-01,-4.333333333333e-01,1.000000000000e-01,5.242478820120e-02,-1.104478171538e-02,1.770084828237e-01,-2.714529884261e-01,3.626331390972e-01,3.282550517392e-01
-4.333333333333e-01,-3.666666666667e-01,1.000000000000e-01,-4.109696912099e-02,7.492599204278e-02,7.253795885654e-02,-1.729899238373e-01,3.531877954629e-01,4.791075452960e-01
-4.333333333333e-01,-3.000000000000e-01,1.000000000000e-01,1.332514266242e-01,-4.832704067470e-02,4.456184753653e-01,9.122605779731e-02,-3.231494306469e-01,-4.988956691509e-01
-4.333333333333e-01,-2.333333333333e-01,1.000000000000e-01,3.220400806830e-01,-1.880412325361e-01,9.661626137865e-01,1.377247778928e-01,-3.296895150192e-01,-9.276117618299e-02
-4.333333333333e-01,-1.666666666667e-01,1.000000000000e-01,-5.433332423015e-01,6.228315143102e-01,-1.380838707823e+00,4.630747160894e-02,8.591851195516e-02,2.995371687280e-01
-4.333333333333e-01,-1.000000000000e-01,1.000000000000e-01,2.170550479181e-01,-3.350191920820e-01,6.371497664430e-01,5.963711901166e-01,-8.120706567676e-01,1.850826902902e+00
-4.333333333333e-01,-3.333333333333e-02,1.000000000000e-01,5.307704720279e-01,-8.610219569149e-01,2.129332091959e+00,3.167061922091e-01,-1.991881681865e-01,1.283774408306e+00
-4.333333333333e-01,3.333333333333e-02,1.000000000000e-01,4.984713652467e-01,-5.687418225244e-01,2.479820966733e+00,3.452630355412e-01,5.583928612430e-02,1.393877527615e+00
-4.333333333333e-01,1.000000000000e-01,1.000000000000e-01,1.833426432944e-01,-1.917612970946e-01,1.151371836957e+00,6.587949582008e-01,1.446254108217e-01,2.694644865717e+00
-4.333333333333e-01,1.666666666667e-01,1.000000000000e-01,-8.097670134568e-01,-5.087084800248e-01,-2.653221141405e+00,1.566319828225e-01,5.098961378261e-02,7.418364183413e-01
-4.333333333333e-01,2.333333333333e-01,1.000000000000e-01,9.540939279651e-01,7.440165905986e-01,2.413073109950e+00,-4.787042628521e-02,-7.535536980183e-02,-1.456019311958e-01
-4.333333333333e-01,3.000000000000e-01,1.000000000000e-01,7.979604653708e-01,5.945475292659e-01,1.642664543137e+00,-6.370126694303e-01,-5.476059495639e-01,-1.191453043443e+00
-4.333333333333e-01,3.666666666667e-01,1.000000000000e-01,-2.153666084130e-01,-1.106632071036e-01,-4.851266981237e-01,9.906820084490e-01,7.451305592396e-01,1.592908899145e+00
-4.333333333333e-01,4.333333333333e-01,1.000000000000e-01,-8.653526022775e-02,-2.186037019833e-02,-2.547041859737e-01,9.511725087383e-01,6.494291998235e-01,1.333216789074e+00
-4.333333333333e-01,5.000000000000e-01,1.000000000000e-01,7.527351643952e-01,4.530623392456e-01,1.009749839889e+00,-4.391429155588e-01,-2.931318258243e-01,-4.624045387086e-01
-3.666666666667e-01,-5.000000000000e-01,1.000000000000e-01,6.394327718530e-02,-1.075267447813e-01,-2.813590061042e-01,4.082932736222e-01,-2.935888935481e-01,9.774361127902e-02
-3.666666666667e-01,-4.333333333333e-01,1.000000000000e-01,2.139658777095e-01,-1.322494153902e-01,2.411722970487e-01,-3.128263011427e-01,3.452935131708e-01,2.811152776007e-01
-3.666666666667e-01,-3.666666666667e-01,1.000000000000e-01,1.717931248581e-01,-3.138539716763e-01,-4.625913506503e-01,2.283499885242e-01,-2.654786630040e-01,-8.795236994184e-02
-3.666666666667e-01,-3.000000000000e-01,1.000000000000e-01,1.411498138188e-01,-4.044299382480e-01,-6.176180158018e-01,-3.800419134779e-02,1.537045952799e-03,-1.388051086800e-01
-3.666666666667e-01,-2.333333333333e-01,1.000000000000e-01,1.667993131843e-01,1.521942967279e-01,9.188326311591e-01,2.545860808227e-01,-3.565750674360e-01,1.677906294497e-01
-3.666666666667e-01,-1.666666666667e-01,1.000000000000e-01,4.932028738897e-01,-5.901718074537e-01,9.019015962204e-01,-3.980451406145e-01,1.732331887100e-01,-1.153414837520e+00
