antenna name=dipole
antenna size=5.555555555556e-03
measurement surface=plane
freq=27000000000.000000
sampling point=4096
sampling space=1.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
1.000000000000e-01,-3.150000000000e+00,-3.150000000000e+00,-1.275949852986e-03,4.017718973802e-02,-4.029027234230e-02,1.688435140815e-03,-5.318759679103e-02,5.314233821049e-02
1.000000000000e-01,-3.150000000000e+00,-3.050000000000e+00,-1.059135914347e-03,3.337062960039e-02,-3.437592166100e-02,-1.880349243109e-03,5.921763674960e-02,-6.125057224710e-02
1.000000000000e-01,-3.150000000000e+00,-2.950000000000e+00,1.580380004808e-03,-4.976690296841e-02,5.325825920136e-02,-1.528377657143e-03,4.814809375107e-02,-5.134891195763e-02
1.000000000000e-01,-3.150000000000e+00,-2.850000000000e+00,2.211233773259e-03,-6.964386103577e-02,7.703906191233e-02,-3.396309476960e-04,1.071057069887e-02,-1.171397529697e-02
1.000000000000e-01,-3.150000000000e+00,-2.750000000000e+00,2.191868072956e-03,-6.903235369450e-02,7.915767586072e-02,-6.040131405785e-04,1.903739450648e-02,-2.168682838011e-02
1.000000000000e-01,-3.150000000000e+00,-2.650000000000e+00,9.348720263782e-04,-2.943259814510e-02,3.513902636112e-02,-2.109358031188e-03,6.644274628826e-02,-7.897083357978e-02
1.000000000000e-01,-3.150000000000e+00,-2.550000000000e+00,-2.234559627609e-03,7.038460854730e-02,-8.695903744007e-02,-6.864947070741e-04,2.160900248394e-02,-2.685361427306e-02
1.000000000000e-01,-3.150000000000e+00,-2.450000000000e+00,1.458375181653e-03,-4.594433965834e-02,5.898947265902e-02,1.860707912180e-03,-5.859710777752e-02,7.548635495270e-02
1.000000000000e-01,-3.150000000000e+00,-2.350000000000e+00,-1.927620041659e-03,6.072108555730e-02,-8.135452119906e-02,-1.406249272078e-03,4.428067012084e-02,-5.952741868233e-02
1.000000000000e-01,-3.150000000000e+00,-2.250000000000e+00,2.021939484381e-03,-6.367629990717e-02,8.930277127951e-02,-1.297966559035e-03,4.089266067117e-02,-5.715024054855e-02
1.000000000000e-01,-3.150000000000e+00,-2.150000000000e+00,2.221027540958e-03,-6.995942211399e-02,1.025076648868e-01,9.439131190211e-04,-2.971728146765e-02,4.373285633629e-02
1.000000000000e-01,-3.150000000000e+00,-2.050000000000e+00,2.260248701045e-03,-7.119408042571e-02,1.094163309774e-01,8.562265005373e-04,-2.695534659854e-02,4.162108702860e-02
