antenna name=patcharray
antenna size=1.500000000000e-02
measurement surface=plane
freq=27000000000.000000
sampling point=1024
sampling space=1.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-1.033333333333e-01,-1.033333333333e-01,1.000000000000e-01,8.357531258575e-01,7.737403725707e-01,1.783479017064e+00,3.327513660725e+00,-1.728097249464e-01,3.020569191983e+00
-1.033333333333e-01,-9.666666666667e-02,1.000000000000e-01,-3.540452060991e+00,-2.477587388132e-01,-3.771178811230e+00,-1.585553607036e+00,9.468219937697e-01,-4.955880712808e-01
-1.033333333333e-01,-9.000000000000e-02,1.000000000000e-01,3.651490868724e+00,-9.510329852157e-01,2.666123224556e+00,-2.466446644234e+00,-7.046215885664e-01,-3.184051940972e+00
-1.033333333333e-01,-8.333333333333e-02,1.000000000000e-01,7.780961228601e-01,1.116193191169e+00,1.835553448227e+00,4.949738320189e+00,-8.558193364404e-01,4.183329726320e+00
-1.033333333333e-01,-7.666666666667e-02,1.000000000000e-01,-5.615334513196e+00,7.678939763972e-01,-5.050378741204e+00,-9.006546737660e-01,1.454939179605e+00,3.472058523935e-01
-1.033333333333e-01,-7.000000000000e-02,1.000000000000e-01,2.176036664490e+00,-1.718938398620e+00,8.520225912038e-01,-6.049687792020e+00,7.987643764675e-01,-5.580544759211e+00
-1.033333333333e-01,-6.333333333333e-02,1.000000000000e-01,6.664077613582e+00,-1.048846132102e+00,6.145478687584e+00,2.795986058471e+00,-1.878173832999e+00,1.490284107122e+00
-1.033333333333e-01,-5.666666666667e-02,1.000000000000e-01,-2.455822127561e+00,1.814142266473e+00,-1.285667437744e+00,7.684878504377e+00,-1.576452133039e+00,6.981062766153e+00
-1.033333333333e-01,-5.000000000000e-02,1.000000000000e-01,-8.911052162812e+00,2.303382244868e+00,-7.961794509360e+00,-6.765308108523e-01,1.290658043729e+00,1.868093110742e-01
-1.033333333333e-01,-4.333333333333e-02,1.000000000000e-01,-2.984842876674e+00,-5.979831926800e-02,-3.349524903290e+00,-9.351646394040e+00,2.847058894726e+00,-8.252858268402e+00
-1.033333333333e-01,-3.666666666667e-02,1.000000000000e-01,7.051481002648e+00,-2.448902352144e+00,6.079694534102e+00,-8.031962947214e+00,1.748999378387e+00,-7.819908813753e+00
-1.033333333333e-01,-3.000000000000e-02,1.000000000000e-01,1.153030567380e+01,-3.072979433452e+00,1.092583700492e+01,2.009440293268e-01,-4.702478071867e-01,-3.363083716441e-01
-1.033333333333e-01,-2.333333333333e-02,1.000000000000e-01,9.278048278982e+00,-2.268362284382e+00,9.312856329606e+00,8.118829190846e+00,-2.157958414775e+00,7.487226993282e+00
-1.033333333333e-01,-1.666666666667e-02,1.000000000000e-01,4.117251943786e+00,-1.110466497226e+00,4.553276874244e+00,1.239363120913e+01,-2.855982398909e+00,1.209304297382e+01
-1.033333333333e-01,-1.000000000000e-02,1.000000000000e-01,-5.082244662849e-01,-3.077416695561e-01,4.364439429923e-02,1.369868948496e+01,-2.887199842288e+00,1.380869227846e+01
-1.033333333333e-01,-3.333333333333e-03,1.000000000000e-01,-3.102633245953e+00,-6.054122304681e-02,-2.550790107350e+00,1.391851191177e+01,-2.650385432468e+00,1.434766579054e+01
