antenna name=dipole
antenna size=5.555555555556e-03
measurement surface=plane
freq=27000000000.000000
sampling point=4096
sampling space=1.000000000000e-03
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
5.000000000000e-03,-3.150000000000e-02,-3.150000000000e-02,-8.207432730009e-01,5.170975934310e+00,-4.509694041068e+00,-6.460661588083e-01,4.068667398576e+00,-5.054825154659e+00
5.000000000000e-03,-3.150000000000e-02,-3.050000000000e-02,-5.221126135821e-01,3.290177364617e+00,-2.372252842234e+00,-9.275834466712e-01,5.842438829922e+00,-6.721022656673e+00
5.000000000000e-03,-3.150000000000e-02,-2.950000000000e-02,-1.385603532508e-01,8.742467005115e-01,3.230303427932e-01,-1.074702580167e+00,6.769699291727e+00,-7.492516518260e+00
5.000000000000e-03,-3.150000000000e-02,-2.850000000000e-02,2.716422806199e-01,-1.709767472112e+00,3.206110672753e+00,-1.067812181480e+00,6.726831061545e+00,-7.210240388615e+00
5.000000000000e-03,-3.150000000000e-02,-2.750000000000e-02,6.491788214266e-01,-4.088200212957e+00,5.875904166468e+00,-9.112968106327e-01,5.741376488317e+00,-5.865192387031e+00
5.000000000000e-03,-3.150000000000e-02,-2.650000000000e-02,9.428805467590e-01,-5.938684897596e+00,7.959108222983e+00,-6.309749808925e-01,3.975911011577e+00,-3.595830693396e+00
5.000000000000e-03,-3.150000000000e-02,-2.550000000000e-02,1.116692609518e+00,-7.034043948826e+00,9.161575048811e+00,-2.683785460837e-01,1.692015261930e+00,-6.636749851012e-01
5.000000000000e-03,-3.150000000000e-02,-2.450000000000e-02,1.153522111415e+00,-7.266539616481e+00,9.304881080058e+00,1.268027703720e-01,-7.973157449428e-01,2.587377536941e+00
5.000000000000e-03,-3.150000000000e-02,-2.350000000000e-02,1.055734007317e+00,-6.651008054277e+00,8.343841978149e+00,5.046475364590e-01,-3.177602960771e+00,5.780425684782e+00
5.000000000000e-03,-3.150000000000e-02,-2.250000000000e-02,8.426644776522e-01,-5.309203532174e+00,6.364193586986e+00,8.219782680686e-01,-5.176829720843e+00,8.555456343508e+00
5.000000000000e-03,-3.150000000000e-02,-2.150000000000e-02,5.459674044856e-01,-3.440489721768e+00,3.562841168482e+00,1.047421120150e+00,-6.597321149589e+00,1.061243289042e+01
5.000000000000e-03,-3.150000000000e-02,-2.050000000000e-02,2.038410164898e-01,-1.285473523940e+00,2.154595920420e-01,1.164052350757e+00,-7.332422670189e+00,1.174219533149e+01
5.000000000000e-03,-3.150000000000e-02,-1.950000000000e-02,-1.448072817252e-01,9.107535006161e-01,-3.362489266038e+00,1.169610152683e+00,-7.367841448016e+00,1.184232947001e+01
5.000000000000e-03,-3.150000000000e-02,-1.850000000000e-02,-4.653722452302e-01,2.930186377131e+00,-6.855123760962e+00,1.074646335227e+00,-6.770008771213e+00,1.091778905256e+01
5.000000000000e-03,-3.150000000000e-02,-1.750000000000e-02,-7.311433839263e-01,4.604542190760e+00,-9.980558216586e+00,8.992520026999e-01,-5.665457527142e+00,9.068313315130e+00
5.000000000000e-03,-3.150000000000e-02,-1.650000000000e-02,-9.252184413595e-01,5.827318636381e+00,-1.251658082433e+01,6.690949811332e-01,-4.215862017847e+00,6.466259502510e+00
5.000000000000e-03,-3.150000000000e-02,-1.550000000000e-02,-1.040787951353e+00,6.555591025071e+00,-1.431567238507e+01,4.114674806830e-01,-2.593140382323e+00,3.329225567056e+00
5.000000000000e-03,-3.150000000000e-02,-1.450000000000e-02,-1.080078523027e+00,6.803359196395e+00,-1.530926572389e+01,1.518971470613e-01,-9.581046185515e-01,-1.082006287543e-01
5.000000000000e-03,-3.150000000000e-02,-1.350000000000e-02,-1.052381762810e+00,6.629133302250e+00,-1.550263967770e+01,-8.832853583109e-02,5.551366755221e-01,-3.619905038856e+00
5.000000000000e-03,-3.150000000000e-02,-1.250000000000e-02,-9.716352112943e-01,6.120696316414e+00,-1.496283702406e+01,-2.935877517526e-01,1.848160904696e+00,-7.008342038460e+00
5.000000000000e-03,-3.150000000000e-02,-1.150000000000e-02,-8.539781094946e-01,5.379706899083e+00,-1.380244021673e+01,-4.543478636544e-01,2.860901950622e+00,-1.011790606427e+01
5.000000000000e-03,-3.150000000000e-02,-1.050000000000e-02,-7.156057368179e-01,4.508182270298e+00,-1.216198265769e+01,-5.667674865279e-01,3.569145600501e+00,-1.284138120091e+01
5.000000000000e-03,-3.150000000000e-02,-9.500000000000e-03,-5.711219245854e-01,3.598118792858e+00,-1.019333758318e+01,-6.317291025115e-01,3.978437106400e+00,-1.512019022679e+01
5.000000000000e-03,-3.150000000000e-02,-8.500000000000e-03,-4.324670844825e-01,2.724737754559e+00,-8.045765664489e+00,-6.535689393191e-01,4.116081041772e+00,-1.693976636683e+01
5.000000000000e-03,-3.150000000000e-02,-7.500000000000e-03,-3.083980979143e-01,1.943207583339e+00,-5.855568634409e+00,-6.387419626871e-01,4.022731855678e+00,-1.832164151142e+01
5.000000000000e-03,-3.150000000000e-02,-6.500000000000e-03,-2.044270790426e-01,1.288256894290e+00,-3.739614670756e+00,-5.946043351313e-01,3.744723976291e+00,-1.931382808492e+01
5.000000000000e-03,-3.150000000000e-02,-5.500000000000e-03,-1.230904281841e-01,7.758684568750e-01,-1.792455335880e+00,-5.284302255924e-01,3.327877926931e+00,-1.998084673393e+01
5.000000000000e-03,-3.150000000000e-02,-4.500000000000e-03,-6.441359218968e-02,4.062063105946e-01,-8.638271204354e-02,-4.467177968519e-01,2.813127980825e+00,-2.039440946450e+01
5.000000000000e-03,-3.150000000000e-02,-3.500000000000e-03,-2.645283406731e-02,1.670282838327e-01,1.326420055361e+00,-3.547891878068e-01,2.234001819520e+00,-2.062539268540e+01
5.000000000000e-03,-3.150000000000e-02,-2.500000000000e-03,-5.824295407910e-03,3.701871256061e-02,2.410527095564e+00,-2.566551113478e-01,1.615767205113e+00,-2.073739370281e+01
5.000000000000e-03,-3.150000000000e-02,-1.500000000000e-03,1.835290865728e-03,-1.130920425670e-02,3.143544429718e+00,-1.550960104042e-01,9.759429758562e-01,-2.078190103454e+01
5.000000000000e-03,-3.150000000000e-02,-5.000000000000e-04,1.498872752956e-03,-9.284043615484e-03,3.512704529241e+00,-5.190549697246e-02,3.258324710673e-01,-2.079494357716e+01
5.000000000000e-03,-3.150000000000e-02,5.000000000000e-04,-1.534944662987e-03,9.713446578689e-03,3.512306880211e+00,5.175638969457e-02,-3.272511280838e-01,-2.079501652414e+01
5.000000000000e-03,-3.150000000000e-02,1.500000000000e-03,-1.866162912518e-03,1.166361007087e-02,3.142352943451e+00,1.549473230818e-01,-9.773650296274e-01,-2.078209875984e+01
5.000000000000e-03,-3.150000000000e-02,2.500000000000e-03,5.803633266888e-03,-3.681284968005e-02,2.408547861894e+00,2.565066134517e-01,-1.617189704591e+00,-2.073765354474e+01
5.000000000000e-03,-3.150000000000e-02,3.500000000000e-03,2.644693585031e-02,-1.670409330879e-01,1.323668762302e+00,3.546394037149e-01,-2.235409531283e+00,-2.062561265368e+01
5.000000000000e-03,-3.150000000000e-02,4.500000000000e-03,6.442615046620e-02,-4.065004905383e-01,-8.987301883384e-02,4.465635312032e-01,-2.814488353960e+00,-2.039445244425e+01
5.000000000000e-03,-3.150000000000e-02,5.500000000000e-03,1.231236939772e-01,-7.764952396160e-01,-1.796624525056e+00,5.282662859867e-01,-3.329137566779e+00,-1.998054732654e+01
5.000000000000e-03,-3.150000000000e-02,6.500000000000e-03,2.044811127650e-01,-1.289248724366e+00,-3.744365032756e+00,5.944235419858e-01,-3.745807365836e+00,-1.931300277772e+01
5.000000000000e-03,-3.150000000000e-02,7.500000000000e-03,3.084699103896e-01,-1.944570258711e+00,-5.860755216062e+00,6.385355395191e-01,-4.023543137756e+00,-1.832010270312e+01
5.000000000000e-03,-3.150000000000e-02,8.500000000000e-03,4.325497881636e-01,-2.726441904738e+00,-8.051189356201e+00,6.533273621853e-01,-4.116509624145e+00,-1.693734037302e+01
5.000000000000e-03,-3.150000000000e-02,9.500000000000e-03,5.712040754212e-01,-3.600092198658e+00,-1.019874307644e+01,6.314434467487e-01,-3.978367607561e+00,-1.511673874880e+01
5.000000000000e-03,-3.150000000000e-02,1.050000000000e-02,7.156710941091e-01,-4.510304812697e+00,-1.216706333601e+01,5.664312376853e-01,-3.568472169956e+00,-1.283682490543e+01
5.000000000000e-03,-3.150000000000e-02,1.150000000000e-02,8.540060584704e-01,-5.381810183131e+00,-1.380685163941e+01,4.539590591365e-01,-2.859546266919e+00,-1.011224799077e+01
5.000000000000e-03,-3.150000000000e-02,1.250000000000e-02,9.716020642688e-01,-6.122569958230e+00,-1.496621983786e+01,2.931512003208e-01,-1.846092231603e+00,-7.001687680050e+00
5.000000000000e-03,-3.150000000000e-02,1.350000000000e-02,1.052263066310e+00,-6.630539374978e+00,-1.550465153839e+01,8.785774355031e-02,-5.523913675263e-01,-3.612475332540e+00
5.000000000000e-03,-3.150000000000e-02,1.450000000000e-02,1.079852345532e+00,-6.804055337953e+00,-1.530962020971e+01,-1.523788050618e-01,9.614076286376e-01,-1.003339600179e-01
5.000000000000e-03,-3.150000000000e-02,1.550000000000e-02,1.040438918379e+00,-6.555361240786e+00,-1.431418112527e+01,-4.119268297553e-01,2.596792061540e+00,3.337085697749e+00
5.000000000000e-03,-3.150000000000e-02,1.650000000000e-02,9.247420478263e-01,-5.826009029633e+00,-1.251319343964e+01,-6.694907773915e-01,4.219567474206e+00,6.473593171104e+00
5.000000000000e-03,-3.150000000000e-02,1.750000000000e-02,7.305498918734e-01,-4.602097004436e+00,-9.975393533804e+00,-8.995385611522e-01,5.668854830342e+00,9.074569134004e+00
5.000000000000e-03,-3.150000000000e-02,1.850000000000e-02,4.646893242483e-01,-2.926678220390e+00,-6.848485493817e+00,-1.074778996039e+00,6.772703287008e+00,1.092244260803e+01
5.000000000000e-03,-3.150000000000e-02,1.950000000000e-02,1.440805292273e-01,-9.064009160343e-01,-3.354860248625e+00,-1.169552142690e+00,7.369453952442e+00,1.184494951610e+01
5.000000000000e-03,-3.150000000000e-02,2.050000000000e-02,-2.045503801534e-01,1.290307520651e+00,2.234483325717e-01,-1.163782186733e+00,7.332646397680e+00,1.174250937836e+01
5.000000000000e-03,-3.150000000000e-02,2.150000000000e-02,-5.465880147899e-01,3.445322568852e+00,3.570466803923e+00,-1.046939347069e+00,6.595979925420e+00,1.061038207227e+01
5.000000000000e-03,-3.150000000000e-02,2.250000000000e-02,-8.431232938088e-01,5.313482584637e+00,6.370719406441e+00,-8.213121271568e-01,5.173927126768e+00,8.551229148303e+00
5.000000000000e-03,-3.150000000000e-02,2.350000000000e-02,-1.055966943984e+00,6.654181187439e+00,8.348608463786e+00,-5.038522035120e-01,3.173351787215e+00,5.774461673305e+00
5.000000000000e-03,-3.150000000000e-02,2.450000000000e-02,-1.153485376487e+00,7.268138716619e+00,9.307397985612e+00,-1.259581509967e-01,7.921383385594e-01,2.580335671116e+00
5.000000000000e-03,-3.150000000000e-02,2.550000000000e-02,-1.116372810815e+00,7.033768755005e+00,9.161600066737e+00,2.691758309709e-01,-1.697521531101e+00,-6.709836328162e-01
5.000000000000e-03,-3.150000000000e-02,2.650000000000e-02,-9.423014493704e-01,5.936472030302e+00,7.956697836601e+00,6.316239099952e-01,-3.981043327509e+00,-3.602539962625e+00
5.000000000000e-03,-3.150000000000e-02,2.750000000000e-02,-6.484028654729e-01,4.084262197278e+00,5.871424977288e+00,9.117071059353e-01,-5.745424555509e+00,-5.870495853743e+00
5.000000000000e-03,-3.150000000000e-02,2.850000000000e-02,-2.707656460322e-01,1.704589693114e+00,3.200204797627e+00,1.067919956657e+00,-6.729190021148e+00,-7.213507300427e+00
5.000000000000e-03,-3.150000000000e-02,2.950000000000e-02,1.394192794991e-01,-8.799569393103e-01,3.165357574968e-01,1.074483641656e+00,-6.769978898590e+00,-7.493389827077e+00
5.000000000000e-03,-3.150000000000e-02,3.050000000000e-02,5.228302124835e-01,-3.295586953295e+00,-2.378418028874e+00,9.270613743587e-01,-5.840547934955e+00,-6.719481080895e+00
5.000000000000e-03,-3.150000000000e-02,3.150000000000e-02,8.212106716585e-01,-5.175255101487e+00,-4.514666968583e+00,6.453128800697e-01,-4.064854533141e+00,-5.051195692374e+00
5.000000000000e-03,-3.050000000000e-02,-3.150000000000e-02,-5.324026110245e-01,3.248544767868e+00,-2.133129583562e+00,-9.518293843430e-01,5.804815938090e+00,-6.294420964867e+00
5.000000000000e-03,-3.050000000000e-02,-3.050000000000e-02,-1.249600237653e-01,7.636093426094e-01,4.791388425783e-01,-1.106072877221e+00,6.746136585593e+00,-6.986679002533e+00
5.000000000000e-03,-3.050000000000e-02,-2.950000000000e-02,3.117727109516e-01,-1.900199601545e+00,3.256650825912e+00,-1.091297386616e+00,6.656582155742e+00,-6.622705709127e+00
5.000000000000e-03,-3.050000000000e-02,-2.850000000000e-02,7.105674379773e-01,-4.332822675636e+00,5.784253372856e+00,-9.117664591377e-01,5.562069957230e+00,-5.199698020595e+00
5.000000000000e-03,-3.050000000000e-02,-2.750000000000e-02,1.013079022297e+00,-6.178349372087e+00,7.677105143908e+00,-5.969067780752e-01,3.642010971002e+00,-2.872334760265e+00
